factor	level	predicted_direction	good_n	good_median	good_wilcox_p	good_n_predicted	good_n_total	good_sign_p_one	bad_n	bad_median	bad_wilcox_p	bad_n_predicted	bad_n_total	bad_sign_p_one	mw_p	good_predicted	good_not	bad_predicted	bad_not	fisher_p
DSB_HDR_repair	composite	down	6	-1.5359617577316662	0.09375	5	6	0.109375	6	-1.1187157000492518	0.0625	5	6	0.109375	0.6991341991341992	5	1	5	1	1.0
DSB_HDR_repair	DNA Double-Strand Break Repair R-HSA-5693532	down	6	-1.524352799517087	0.09375	5	6	0.109375	6	-0.9225598485163136	0.0625	5	6	0.109375	0.5887445887445888	5	1	5	1	1.0
DSB_HDR_repair	HDR Thru Homologous Recombination (HRR) R-HSA-5685942	down	6	-1.937801546769129	0.09375	5	6	0.109375	6	-1.4185087986059028	0.0625	5	6	0.109375	0.6991341991341992	5	1	5	1	1.0
DSB_HDR_repair	Homology Directed Repair R-HSA-5693538	down	6	-1.5104831408832937	0.09375	5	6	0.109375	6	-1.155288492160698	0.0625	5	6	0.109375	0.6991341991341992	5	1	5	1	1.0
DSB_HDR_repair	Processing Of DNA Double-Strand Break Ends R-HSA-5693607	down	6	-1.1712095437571546	0.3125	4	6	0.34375	6	-0.9785056609140934	0.09375	5	6	0.109375	0.8181818181818182	4	2	5	1	1.0
Tumor_cellcycle	composite	down	6	-1.5109868892166003	0.15625	4	6	0.34375	6	-1.41994331000679	0.0625	5	6	0.109375	1.0	4	2	5	1	1.0
Tumor_cellcycle	G2-M Checkpoint	down	6	-1.511058006634355	0.15625	4	6	0.34375	6	-1.4405875906654233	0.09375	5	6	0.109375	1.0	4	2	5	1	1.0
Tumor_cellcycle	Cell Cycle Checkpoints R-HSA-69620	down	6	-1.4428815763601346	0.15625	4	6	0.34375	6	-1.3437428647544878	0.09375	5	6	0.109375	0.9372294372294373	4	2	5	1	1.0
Tumor_cellcycle	M Phase R-HSA-68886	down	6	-1.5284243032172427	0.09375	5	6	0.109375	6	-1.4408890216031693	0.0625	5	6	0.109375	0.8181818181818182	5	1	5	1	1.0
Tumor_cellcycle	Mitotic G2-G2/M Phases R-HSA-453274	down	6	-1.4335976888376287	0.15625	4	6	0.34375	6	-1.616323868617167	0.09375	5	6	0.109375	1.0	4	2	5	1	1.0
Tumor_cellcycle	S Phase R-HSA-69242	down	6	-1.6389728710336415	0.15625	4	6	0.34375	6	-1.2581732043937022	0.09375	5	6	0.109375	0.9372294372294373	4	2	5	1	1.0
E2F_MYC_cellcycle	composite	down	6	-1.530913121306385	0.0625	5	6	0.109375	6	-0.9073277500241146	0.21875	5	6	0.109375	0.8181818181818182	5	1	5	1	1.0
E2F_MYC_cellcycle	E2F Targets	down	6	-1.6265167360404311	0.15625	4	6	0.34375	6	-1.3831733048853008	0.0625	5	6	0.109375	1.0	4	2	5	1	1.0
E2F_MYC_cellcycle	Myc Targets V1	down	6	-1.5301257915616158	0.03125	6	6	0.015625	6	-0.8414749775568364	0.21875	5	6	0.109375	0.9372294372294373	6	0	5	1	1.0
E2F_MYC_cellcycle	Myc Targets V2	down	6	-1.3732734181156712	0.0625	5	6	0.109375	6	-0.6297643303508607	0.21875	5	6	0.109375	0.8181818181818182	5	1	5	1	1.0
EMT	composite	up	6	1.3666846508484616	0.03125	6	6	0.015625	6	0.7943717847297382	0.21875	5	6	0.109375	0.6991341991341992	6	0	5	1	1.0
EMT	Epithelial Mesenchymal Transition	up	6	1.3666846508484616	0.03125	6	6	0.015625	6	0.7943717847297382	0.21875	5	6	0.109375	0.6991341991341992	6	0	5	1	1.0
