model	feature	coef	abs_coef
ElasticNet	DNA Double-Strand Break Repair R-HSA-5693532	0.9134348845404521	0.9134348845404521
ElasticNet	frac_amp	-0.7565268935054958	0.7565268935054958
ElasticNet	MHC_II	-0.24171695653341127	0.24171695653341127
ElasticNet	SBS5	0.0	0.0
ElasticNet	CD8_proliferation	0.0	0.0
ElasticNet	Stemness_mRNAsi_proxy	0.0	0.0
ElasticNet	HDR Thru Homologous Recombination (HRR) R-HSA-5685942	0.0	0.0
ElasticNet	DNA Repair R-HSA-73894	0.0	0.0
ElasticNet	E2F Targets	0.0	0.0
ElasticNet	G2-M Checkpoint	0.0	0.0
ElasticNet	Myc Targets V2	0.0	0.0
ElasticNet	TGF-beta Signaling	0.0	0.0
LASSO	DNA Double-Strand Break Repair R-HSA-5693532	0.9352686456991736	0.9352686456991736
LASSO	frac_amp	-0.6902592189858877	0.6902592189858877
LASSO	MHC_II	-0.10537037163304443	0.10537037163304443
LASSO	SBS5	0.0	0.0
LASSO	CD8_proliferation	0.0	0.0
LASSO	Stemness_mRNAsi_proxy	0.0	0.0
LASSO	HDR Thru Homologous Recombination (HRR) R-HSA-5685942	0.0	0.0
LASSO	DNA Repair R-HSA-73894	0.0	0.0
LASSO	E2F Targets	0.0	0.0
LASSO	G2-M Checkpoint	0.0	0.0
LASSO	Myc Targets V2	0.0	0.0
LASSO	TGF-beta Signaling	0.0	0.0
