timepoint	signature	n_good	n_bad	mean_good	mean_bad	delta_good_minus_bad	U	pvalue	ci_low	ci_high
pre	CD8_proliferation	17	16	0.72570	0.14883	0.57687	195.00000	0.03509	0.03540	1.07402
pre	MHC_II	17	16	-0.39353	0.14733	-0.54086	86.00000	0.07457	-1.06203	0.06224
pre	Stemness_mRNAsi_proxy	17	16	0.17107	-0.00889	0.17996	177.00000	0.14460	-0.01677	0.39943
pre	B_cell	17	16	-0.03582	-0.24690	0.21108	175.00000	0.16549	-0.25568	0.66352
pre	Mac_M2	17	16	-0.23180	0.01487	-0.24667	100.00000	0.20098	-0.77369	0.33929
pre	CAF_myCAF	17	16	-0.27308	-0.03146	-0.24162	103.00000	0.24171	-0.78533	0.26016
pre	CD8_exhaustion	17	16	-0.04795	-0.01121	-0.03674	106.00000	0.28794	-0.50873	0.52262
pre	Hypoxia_Buffa	17	16	0.38344	0.17723	0.20622	166.00000	0.28794	-0.13791	0.57126
pre	Cytolytic_activity	17	16	-0.17979	-0.01604	-0.16375	107.00000	0.30460	-0.70366	0.47889
pre	EMT_Mak	17	16	-0.11819	0.06569	-0.18388	110.00000	0.35833	-0.59341	0.22697
pre	NK_cell	17	16	-0.18767	-0.00829	-0.17938	110.00000	0.35833	-0.70897	0.37361
pre	Epithelial	17	16	0.19247	-0.06214	0.25461	159.00000	0.41766	-0.23110	0.76784
pre	TGFb_Mariathasan	17	16	-0.11788	0.10992	-0.22781	116.00000	0.48241	-0.75888	0.23339
pre	Bcell_infiltration	17	16	-0.11440	-0.29761	0.18322	155.00000	0.50515	-0.47023	0.84356
pre	IFNg_Ayers_18	17	16	-0.05028	0.02336	-0.07364	122.00000	0.62676	-0.56184	0.48937
pre	Checkpoint_inhibitory	17	16	-0.05537	-0.01159	-0.04378	123.00000	0.65251	-0.55791	0.55391
pre	Mac_M1	17	16	0.08960	0.11046	-0.02085	123.00000	0.65251	-0.46074	0.49030
pre	Treg	17	16	0.06467	-0.00218	0.06684	123.00000	0.65251	-0.42547	0.63380
pre	CAF_iCAF	17	16	-0.00048	0.07228	-0.07276	128.00000	0.78703	-0.47467	0.34891
pre	CD8_cytotoxic	17	16	-0.17425	-0.16149	-0.01275	142.00000	0.84295	-0.72925	0.76649
pre	NLRC5_HLA_IFNG	17	16	-0.06610	-0.09514	0.02904	131.00000	0.87123	-0.43431	0.57190
pre	CD8_activation	17	16	-0.02645	-0.05275	0.02630	141.00000	0.87123	-0.49713	0.60486
pre	Antigen_presentation	17	16	0.09761	0.05056	0.04706	133.00000	0.92824	-0.32863	0.45266
pre	TLS_Cabrita	17	16	-0.14885	-0.10168	-0.04717	138.00000	0.95691	-0.48738	0.37803
pre	Tcell_infiltration	17	16	-0.30626	-0.31070	0.00443	134.00000	0.95691	-0.61376	0.65985
