	selection_count_ElasticNet	selection_count_LASSO
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	35	35
DNA Repair R-HSA-73894	35	35
G2-M Checkpoint	35	35
DNA Double-Strand Break Repair R-HSA-5693532	35	35
E2F Targets	34	35
frac_amp	27	30
Myc Targets V2	27	31
TGF-beta Signaling	27	31
Stemness_mRNAsi_proxy	26	31
MHC_II	25	31
MSI_pct	19	24
Epithelial Mesenchymal Transition	15	18
SBS5	14	19
Hypoxia_Buffa	2	2
frac_del	0	0
MMR_prop	0	0
age	0	0
TMB_nonsyn_per_Mb	0	0
n_nonsyn	0	0
CIN	0	0
Antigen_presentation	0	0
CD8_activation	0	0
EMT_Mak	0	0
TGFb_Mariathasan	0	0
NLRC5_HLA_IFNG	0	0
TLS_Cabrita	0	0
IFNg_Ayers_18	0	0
Hypoxia	0	0
