fold	model	best_k	features
0	ElasticNet	8	frac_amp;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
0	LASSO	5	DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint
1	ElasticNet	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
1	LASSO	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
2	ElasticNet	12	frac_amp;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
2	LASSO	12	frac_amp;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
3	ElasticNet	8	Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
3	LASSO	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
4	ElasticNet	5	DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint
4	LASSO	5	DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint
5	ElasticNet	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
5	LASSO	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
6	ElasticNet	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
6	LASSO	12	frac_amp;MSI_pct;SBS5;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
7	ElasticNet	12	frac_amp;MSI_pct;MHC_II;Hypoxia_Buffa;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
7	LASSO	12	frac_amp;MSI_pct;MHC_II;Hypoxia_Buffa;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;TGF-beta Signaling
8	ElasticNet	12	frac_amp;MSI_pct;MHC_II;Stemness_mRNAsi_proxy;DNA Double-Strand Break Repair R-HSA-5693532;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;DNA Repair R-HSA-73894;E2F Targets;G2-M Checkpoint;Myc Targets V2;Epithelial Mesenchymal Transition;TGF-beta Signaling
