scenario	model	n_features	AUC	CI_low	CI_high
baseline_37	LASSO	29	0.6503	0.4542	0.8322
baseline_37	ElasticNet	29	0.6863	0.5	0.86
drop_cd8prolif_36	LASSO	28	0.7157	0.5238	0.8824
drop_cd8prolif_36	ElasticNet	28	0.7451	0.5633	0.8947
add_immune_40	LASSO	32	0.6503	0.4542	0.8322
add_immune_40	ElasticNet	32	0.6863	0.5	0.86
swap_cd8_37	LASSO	29	0.7157	0.5238	0.8824
swap_cd8_37	ElasticNet	29	0.7222	0.5329	0.8882
drop_prolif_add_3_39	LASSO	31	0.7157	0.5238	0.8824
drop_prolif_add_3_39	ElasticNet	31	0.7353	0.55	0.8922
