gse	regimen	signature	n_good	n_bad	mean_good	mean_bad	delta	pvalue	n_genes_in_sig
GSE35452	nCRT-long	CD8_cytotoxic	24	22	0.0382653559546132	-0.0417440246777598	0.080009380632373	0.5900563428241655	16
GSE35452	nCRT-long	Tcell_infiltration	24	22	0.017979769568561	-0.0196142940747938	0.0375940636433549	0.9736865794748072	10
GSE35452	nCRT-long	Bcell_infiltration	24	22	-0.0261519930975662	0.0285294470155269	-0.0546814401130931	0.6521376768172582	9
GSE35452	nCRT-long	Tumor_cellcycle	24	22	0.1436024628470486	-0.1566572321967803	0.300259695043829	0.1436498898676358	18
GSE35452	nCRT-long	DSB_HDR_repair	24	22	0.1010226320222099	-0.1102065076605926	0.2112291396828025	0.1907364847871366	24
GSE35452	nCRT-long	E2F_MYC_cellcycle	24	22	0.0939770176639834	-0.1025203829061638	0.1964974005701472	0.239409647895686	17
GSE35452	nCRT-long	EMT	24	22	0.07096056438487	-0.0774115247834946	0.1483720891683646	0.2861914526040725	22
GSE45404	nCRT-long	CD8_cytotoxic	19	23	0.1966641552620562	-0.1624616934773513	0.3591258487394075	0.0812163188460356	16
GSE45404	nCRT-long	Tcell_infiltration	19	23	0.1278119849071238	-0.1055838136189289	0.2333957985260527	0.3629586635960002	10
GSE45404	nCRT-long	Bcell_infiltration	19	23	0.0600770400197825	-0.0496288591467778	0.1097058991665604	0.5782427405426496	9
GSE45404	nCRT-long	Tumor_cellcycle	19	23	0.1815662749678038	-0.1499895314951422	0.3315558064629461	0.1888221194400564	18
GSE45404	nCRT-long	DSB_HDR_repair	19	23	0.1871948948027358	-0.1546392609239983	0.3418341557267342	0.0317136275942875	24
GSE45404	nCRT-long	E2F_MYC_cellcycle	19	23	0.1241469779621119	-0.1025561991860913	0.2267031771482033	0.1359704681123009	17
GSE45404	nCRT-long	EMT	19	23	0.0265024896109053	-0.0218933609829219	0.0483958505938272	0.8397878456051435	22
GSE56699	nCRT-long	CD8_cytotoxic	34	10	-0.0455424577451094	-0.0724465146800655	0.026904056934956	0.4751388560832038	17
GSE56699	nCRT-long	Tcell_infiltration	34	10	-0.0249933582007801	-0.2324281967007225	0.2074348384999424	0.0850071304380009	10
GSE56699	nCRT-long	Bcell_infiltration	34	10	0.0595337736398351	-0.1691362959905581	0.2286700696303933	0.2686307602798388	9
GSE56699	nCRT-long	Tumor_cellcycle	34	10	0.1528848062122397	-0.511623676214527	0.6645084824267667	0.0142661867014469	17
GSE56699	nCRT-long	DSB_HDR_repair	34	10	0.095625075831124	-0.2256352689899924	0.3212603448211165	0.0587074084312048	22
GSE56699	nCRT-long	E2F_MYC_cellcycle	34	10	0.0452539882130589	-0.4073317698742557	0.4525857580873146	0.0625506009797047	16
GSE56699	nCRT-long	EMT	34	10	-0.1605810747268033	0.2426483282281437	-0.4032294029549471	0.0587074084312048	22
GSE133057	nCRT-long	CD8_cytotoxic	13	20	-0.0361153618788794	0.007889620544688	-0.0440049824235674	0.8973945839305384	17
GSE133057	nCRT-long	Tcell_infiltration	13	20	-0.1590531473092281	0.0782173348416477	-0.2372704821508758	0.5931788243337852	10
GSE133057	nCRT-long	Bcell_infiltration	13	20	0.0421278642800502	-0.0687667711734339	0.1108946354534842	0.4500701808434729	8
GSE133057	nCRT-long	Tumor_cellcycle	13	20	0.1696324519000874	-0.1102610937350564	0.2798935456351438	0.4071125318915378	17
GSE133057	nCRT-long	DSB_HDR_repair	13	20	0.0221426018852934	-0.0249878171843313	0.0471304190696248	0.8394156924542152	20
GSE133057	nCRT-long	E2F_MYC_cellcycle	13	20	0.1670705167950217	-0.1139899383051162	0.281060455100138	0.2311414486796655	16
GSE133057	nCRT-long	EMT	13	20	-0.1255363679910246	0.066382114287845	-0.1919184822788696	0.2770844158050105	23
GSE87211	nCRT-long	CD8_cytotoxic	268	85	0.0287072854266809	-0.116955148282199	0.14566243370888	0.1575925826026046	17
GSE87211	nCRT-long	Tcell_infiltration	268	85	-0.0027520543391257	-0.0496254648541057	0.04687341051498	0.802059617972538	10
GSE87211	nCRT-long	Bcell_infiltration	268	85	-0.0154872641635921	-0.000816104969833	-0.014671159193759	0.7534333185107023	9
GSE87211	nCRT-long	Tumor_cellcycle	268	85	0.05986368941079	-0.1118480472101555	0.1717117366209455	0.0734292578987946	18
GSE87211	nCRT-long	DSB_HDR_repair	268	85	0.044937696344858	-0.0934900744718349	0.138427770816693	0.0584081397017747	24
GSE87211	nCRT-long	E2F_MYC_cellcycle	268	85	0.0437939244636039	-0.0787895302692185	0.1225834547328225	0.1561632520534278	17
GSE87211	nCRT-long	EMT	268	85	-0.0340913237643069	0.1343619008303571	-0.1684532245946641	0.158310954620877	23
