gse	DSB_HDR_repair	DSB_HDR_repair	E2F_MYC_cellcycle	E2F_MYC_cellcycle	EMT	EMT	Tumor_cellcycle	Tumor_cellcycle
	delta	pvalue	delta	pvalue	delta	pvalue	delta	pvalue
GSE119409	-0.1762054831724932	0.3001532769255345	-0.072145004303224	0.7113546162579477	0.3384575478201797	0.0197409354249578	-0.1199758959871167	0.5293074210916908
GSE133057	0.0471304190696248	0.8394156924542152	0.281060455100138	0.2311414486796655	-0.1919184822788696	0.2770844158050105	0.2798935456351438	0.4071125318915378
GSE150082	-0.4565097918294865	0.006972284436026	-0.5061571572047611	0.0063967846944352	0.0635014988390956	0.7643326702073521	-0.4631815235995111	0.0358545687182945
GSE35452	0.2112291396828025	0.1907364847871366	0.1964974005701472	0.239409647895686	0.1483720891683646	0.2861914526040725	0.300259695043829	0.1436498898676358
GSE45404	0.3418341557267342	0.0317136275942875	0.2267031771482033	0.1359704681123009	0.0483958505938272	0.8397878456051435	0.3315558064629461	0.1888221194400564
GSE46862	-0.1639887315898587	0.344322488840949	-0.0590576536449069	0.592198352073685	-0.0504455194013486	0.6964130308135925	-0.255535134651782	0.3053560579189652
GSE56699	0.3212603448211165	0.0587074084312048	0.4525857580873146	0.0625506009797047	-0.4032294029549471	0.0587074084312048	0.6645084824267667	0.0142661867014469
GSE87211	0.138427770816693	0.0584081397017747	0.1225834547328225	0.1561632520534278	-0.1684532245946641	0.158310954620877	0.1717117366209455	0.0734292578987946
GSE94104	-0.0812056101972001	0.52846857352844	-0.3944974173451451	0.0239836488995147	-0.2090684968122154	0.385723714415303	-0.2160701425050756	0.2337900041183681
