v_gene	good_n_up	good_n_down	good_median_delta	good_sign_P_two	bad_n_up	bad_n_down	bad_median_delta	bad_sign_P_two	fisher_P_updown	mw_P_delta	coherence_gap	good_majority_frac	bad_majority_frac	pattern
IGHV6-1	0	6	-0.0025278896156765425	0.03125	4	2	0.0004431482992739294	0.6875	0.060606060606060615	0.06493506493506493	0.33333333333333337	1.0	0.6666666666666666	good_coherent_bad_mixed
IGHV1-45	4	0	0.00025356292570313	0.125	2	3	-0.0005997591123628619	1.0	0.16666666666666669	0.5476190476190477	0.4	1.0	0.6	good_coherent_bad_mixed
IGHV3-38-3	0	5	-0.0005786122666044918	0.0625	3	3	-0.00040725929829577815	1.0	0.1818181818181818	0.5367965367965368	0.5	1.0	0.5	good_coherent_bad_mixed
IGHV1-46	4	1	0.002218215712321843	0.375	2	4	-0.0011777704134901933	0.6875	0.24242424242424238	0.13203463203463203	0.13333333333333341	0.8	0.6666666666666666	good_coherent_bad_mixed
IGHV3-53	5	1	0.0003019728200155474	0.21875	2	4	-0.0021125805831653764	0.6875	0.24242424242424246	0.3939393939393939	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV5-51	5	1	0.006002877045200385	0.21875	2	4	-0.0012635432721517532	0.6875	0.24242424242424246	0.8181818181818182	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV4-30-4	1	5	-0.0006890246685341158	0.21875	3	3	-0.00022102218689320932	1.0	0.5454545454545454	0.8181818181818182	0.33333333333333337	0.8333333333333334	0.5	good_coherent_bad_mixed
IGHV2-26	5	1	0.0021386838130443256	0.21875	3	3	-9.786529019170512e-05	1.0	0.5454545454545454	0.09307359307359307	0.33333333333333337	0.8333333333333334	0.5	good_coherent_bad_mixed
IGHV3-9	1	5	-0.0008261753666642202	0.21875	2	4	-0.005356389449281936	0.6875	1.0	0.48484848484848486	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV3-49	5	1	0.0049005257944133435	0.21875	4	2	0.0026781429275710084	0.6875	1.0	1.0	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV3-48	1	5	-0.007215800554402532	0.21875	2	4	-0.010335499910582278	0.6875	1.0	0.9372294372294373	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV3-69-1	5	1	0.002626668548201952	0.21875	4	2	0.0010121063232955032	0.6875	1.0	0.24025974025974026	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV4-59	5	1	0.014488730829873214	0.21875	4	2	0.00746858100564278	0.6875	1.0	0.24025974025974026	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV3-74	1	5	-0.0042668223668378205	0.21875	2	4	-0.00399591903197765	0.6875	1.0	0.8181818181818182	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV3-13	5	1	0.0017177094122558128	0.21875	4	2	0.0009970237193446074	0.6875	1.0	0.30952380952380953	0.16666666666666674	0.8333333333333334	0.6666666666666666	good_coherent_bad_mixed
IGHV1-18	1	4	-0.00511562502042032	0.375	2	4	-0.006878803229045615	0.6875	1.0	0.8181818181818182	0.13333333333333341	0.8	0.6666666666666666	good_coherent_bad_mixed
