composite_or_ratio	axis	good_mean	bad_mean	good_minus_bad	direction	MW_1sP_good_gt_bad	MW_1sP_good_lt_bad	MW_2sP	ceiling_hit_good_gt_bad_le_0p05	good_values	bad_values
TLS_8	pre-treatment	-0.234	-0.652	0.417	good>bad	0.2	0.9	0.4	False	-0.410,+0.122,-0.415	-1.043,-0.778,-0.134
Plasma_proxy	pre-treatment	0.391	-0.784	1.175	good>bad	0.2	0.9	0.4	False	+0.279,+0.557,+0.335	-2.072,-0.666,+0.386
GC_TF	pre-treatment	-0.153	-1.028	0.875	good>bad	0.05	1.0	0.1	True	-0.163,-0.104,-0.191	-1.752,-0.583,-0.748
Naive_B	pre-treatment	0.064	-0.648	0.712	good>bad	0.35	0.8	0.7	False	-0.753,+1.235,-0.289	-1.623,-0.665,+0.345
Memory_B	pre-treatment	0.272	-0.477	0.749	good>bad	0.2	0.9	0.4	False	-0.032,+1.061,-0.213	-2.178,-0.272,+1.018
BAFF_APRIL	pre-treatment	-0.097	-0.524	0.428	good>bad	0.5	0.65	1.0	False	-0.306,+0.288,-0.273	-1.734,-0.289,+0.449
HLA_II	pre-treatment	-0.011	-0.402	0.391	good>bad	0.35	0.8	0.7	False	+0.138,-0.583,+0.414	-0.372,-1.195,+0.362
CD8_exh	pre-treatment	-0.117	-0.661	0.544	good>bad	0.2	0.9	0.4	False	-0.448,+0.223,-0.127	-1.284,-0.075,-0.624
HLA_I_axis	pre-treatment	0.123	-0.742	0.865	good>bad	0.1	0.95	0.2	False	-0.672,+0.542,+0.500	-1.165,+0.180,-1.240
T_cell	pre-treatment	0.164	-0.589	0.753	good>bad	0.1	0.95	0.2	False	-0.222,+0.550,+0.163	-0.941,-0.210,-0.617
Ayers_TIS	pre-treatment	0.056	-0.722	0.778	good>bad	0.05	1.0	0.1	True	-0.280,+0.284,+0.165	-1.142,-0.382,-0.642
IFNg_6	pre-treatment	0.239	-0.736	0.975	good>bad	0.05	1.0	0.1	True	+0.159,+0.354,+0.204	-0.711,-0.096,-1.401
IFNg_10_Ayers	pre-treatment	0.149	-0.715	0.863	good>bad	0.05	1.0	0.1	True	+0.014,+0.426,+0.005	-0.635,-0.402,-1.107
IMPRES_pos	pre-treatment	-0.092	-0.701	0.609	good>bad	0.1	0.95	0.2	False	-0.395,+0.143,-0.023	-1.089,-0.134,-0.880
Teff_cytotoxic	pre-treatment	-0.05	-0.483	0.433	good>bad	0.2	0.9	0.4	False	-0.219,+0.129,-0.061	-0.373,-0.010,-1.065
Treg	pre-treatment	-0.264	-0.591	0.327	good>bad	0.35	0.8	0.7	False	-0.689,-0.389,+0.285	-0.961,-0.236,-0.576
CD8_cytotoxic	pre-treatment	0.011	-0.51	0.521	good>bad	0.05	1.0	0.1	True	-0.098,+0.209,-0.078	-0.392,-0.178,-0.958
M1_macro	pre-treatment	-0.115	-0.85	0.735	good>bad	0.05	1.0	0.1	True	+0.006,-0.094,-0.259	-0.838,-0.413,-1.300
M2_macro	pre-treatment	-0.433	-0.584	0.151	good>bad	0.2	0.9	0.4	False	-0.286,-0.519,-0.496	-0.807,-0.334,-0.613
NK_activating	pre-treatment	-0.055	-0.753	0.698	good>bad	0.1	0.95	0.2	False	-0.577,+0.212,+0.198	-0.845,-0.402,-1.012
NK_inhibiting	pre-treatment	-0.361	-0.598	0.237	good>bad	0.35	0.8	0.7	False	-0.682,+0.079,-0.479	-0.945,-0.177,-0.672
DC_mature	pre-treatment	-0.239	-0.747	0.508	good>bad	0.2	0.9	0.4	False	-0.469,+0.137,-0.385	-0.706,-0.237,-1.299
HLA_I_machinery_narrow	pre-treatment	0.123	-0.742	0.865	good>bad	0.1	0.95	0.2	False	-0.672,+0.542,+0.500	-1.165,+0.180,-1.240
TLS_8	post-treatment	0.692	0.194	0.498	good>bad	0.2	0.9	0.4	False	+1.417,+0.659,-0.000	+0.171,-0.200,+0.611
Plasma_proxy	post-treatment	0.721	-0.328	1.049	good>bad	0.2	0.9	0.4	False	+1.986,+0.678,-0.500	-0.361,+0.007,-0.629
GC_TF	post-treatment	0.902	0.278	0.624	good>bad	0.2	0.9	0.4	False	+1.515,+1.034,+0.158	-0.166,-0.207,+1.208
Naive_B	post-treatment	0.055	0.528	-0.473	bad>good	0.65	0.5	1.0	False	+0.430,+0.044,-0.308	+0.039,+0.004,+1.542
Memory_B	post-treatment	0.301	-0.095	0.396	good>bad	0.5	0.65	1.0	False	+1.456,+0.149,-0.702	-0.481,-0.177,+0.372
BAFF_APRIL	post-treatment	0.368	0.253	0.115	good>bad	0.35	0.8	0.7	False	+1.168,+0.434,-0.497	+0.231,+0.262,+0.266
