feature_or_gene	kind	IAE_n2_mean	IBI_n3_mean	IAE_minus_IBI	IAE_values	IBI_values
Treg	composite	1.787	0.529	1.258	+1.052,+2.522	-0.255,+1.488,+0.354
Naive_B	composite	-0.004	1.176	-1.18	-1.191,+1.183	+0.669,+1.197,+1.661
IFNg_10_Ayers	composite	1.15	0.3	0.849	+0.722,+1.577	+0.070,+0.674,+0.157
IFNg_6	composite	1.073	0.224	0.849	+0.972,+1.174	-0.370,+0.778,+0.264
IMPRES_pos	composite	1.457	0.609	0.848	+0.844,+2.070	-0.119,+1.448,+0.498
NK_inhibiting	composite	0.626	1.46	-0.835	-0.039,+1.291	+0.391,+2.612,+1.377
CD8_exh	composite	1.406	0.602	0.804	+0.788,+2.024	-0.232,+1.186,+0.850
Teff_over_Treg	ratio	-0.808	-0.038	-0.77	-1.052,-0.565	+0.041,+0.227,-0.383
HLA_II	composite	0.843	0.076	0.767	+0.535,+1.150	+1.061,-1.767,+0.934
NK_activ_over_inhib	ratio	0.334	-0.33	0.664	+0.390,+0.278	-0.267,+0.066,-0.790
Ayers_TIS	composite	1.252	0.603	0.649	+0.548,+1.957	+0.228,+0.688,+0.893
DC_mature	composite	1.547	0.941	0.607	+1.367,+1.728	+0.077,+2.272,+0.473
HLA_I_machinery_narrow	composite	1.08	0.486	0.594	+0.866,+1.294	+0.193,-0.121,+1.386
HLA_I_axis	composite	1.08	0.486	0.594	+0.866,+1.294	+0.193,-0.121,+1.386
M1_macro	composite	1.437	0.846	0.591	+1.478,+1.396	-0.018,+1.992,+0.564
M2_macro	composite	1.51	0.939	0.571	+1.400,+1.619	+0.388,+1.582,+0.847
Teff_cytotoxic	composite	0.979	0.491	0.488	+0.000,+1.958	-0.214,+1.715,-0.028
CD8cyt_over_CD8exh	ratio	-0.549	-0.079	-0.47	-0.875,-0.223	+0.111,+0.481,-0.830
Plasma_proxy	composite	0.914	0.456	0.457	+0.121,+1.707	+0.673,-1.015,+1.711
TLS_8	composite	1.182	0.846	0.336	+0.537,+1.827	+0.578,+0.745,+1.215
CD8_cytotoxic	composite	0.857	0.522	0.335	-0.087,+1.801	-0.121,+1.668,+0.020
NK_activating	composite	0.96	1.13	-0.17	+0.351,+1.569	+0.125,+2.678,+0.587
GC_TF	composite	1.408	1.306	0.102	+1.138,+1.678	+0.377,+1.957,+1.586
Memory_B	composite	0.288	0.382	-0.094	-0.912,+1.488	+0.094,-0.646,+1.697
BAFF_APRIL	composite	0.81	0.777	0.032	+0.146,+1.474	+0.551,-0.184,+1.964
T_cell	composite	0.688	0.715	-0.027	-0.775,+2.150	+0.463,+0.672,+1.010
M1_over_M2	ratio	-0.072	-0.093	0.02	+0.079,-0.223	-0.406,+0.410,-0.283
PLA2G6	gene	2.238	-1.14	3.378		
JAK3	gene	2.019	-1.072	3.091		
KIR_Inhibiting_Subgroup_2	gene	-1.31	1.702	-3.012		
IKBKB	gene	2.128	-0.749	2.877		
TAPBP	gene	2.579	-0.204	2.783		
ARG2	gene	-1.461	1.253	-2.714		
ZAP70	gene	1.601	-1.111	2.712		
CCL24	gene	1.242	-1.414	2.656		
IFIH1	gene	2.642	0.11	2.532		
XCL2	gene	-0.179	2.323	-2.501		
STAT6	gene	2.027	-0.413	2.44		
PYCARD	gene	1.188	-1.247	2.435		
LILRB3	gene	2.883	0.472	2.411		
RAG1	gene	-0.239	2.094	-2.333		
MS4A1	gene	-1.419	0.906	-2.325		
S100B	gene	1.341	-0.981	2.322		
SELPLG	gene	2.851	0.539	2.312		
BATF	gene	2.492	0.256	2.236		
LAG3	gene	1.704	-0.497	2.201		
TLR8	gene	2.877	0.681	2.196		
CXCR4	gene	2.213	0.018	2.195		
IL4R	gene	2.408	0.258	2.15		
CCL18	gene	1.463	-0.658	2.122		
CSF3R	gene	2.648	0.537	2.111		
TNF	gene	2.642	0.534	2.108		
RUNX3	gene	1.959	-0.139	2.099		
SBNO2	gene	1.906	-0.173	2.079		
ENG	gene	2.112	0.034	2.078		
NOTCH1	gene	0.916	-1.156	2.072		
ITGAX	gene	2.644	0.582	2.062		
THBD	gene	2.45	0.393	2.057		
CD5	gene	1.534	-0.517	2.051		
RUNX1	gene	1.943	-0.108	2.051		
SELL	gene	2.696	0.663	2.034		
STAT2	gene	2.553	0.529	2.024		
CEACAM1	gene	-0.722	1.296	-2.017		
IFITM2	gene	2.346	0.343	2.004		
CD1B	gene	1.649	-0.339	1.988		
IL1R2	gene	2.596	0.611	1.985		
FLT3LG	gene	2.272	0.291	1.981		
