gene	pearson_r	pearson_P	ns_delta_mean	rna_delta_mean
CXCL5	0.9993861651495985	1.8254551970442926e-05	2.3794101432071026	2.519446455321726
PPARG	0.9986420048815073	6.006101750916636e-05	0.040298780145617566	-0.27574537226466544
BIRC5	0.9979171400875861	0.00011407440624072774	-1.3493518846691455	-1.57480152093803
ITGA4	0.9970121839498584	0.00019596111724390708	0.3370915061482528	0.28213706310681974
MME	0.996967682480721	0.00020035409980300074	1.2684998782124168	1.1985840736977245
FN1	0.996850456480696	0.00021208013796698155	0.3938653246610798	0.2237372052224936
CCL28	0.9968081812176748	0.0002163630818871065	-0.26461910583360415	-0.2878293990466331
SLC11A1	0.9964606831483207	0.00025262848824192835	2.366376007883989	2.2536019221883725
CXCR1	0.9963026188460352	0.0002697330623023831	2.6482832977897095	3.1786857609621046
CCL20	0.9958635686539873	0.0003191559464796824	1.4756671731574467	1.6166469223963253
CXCL3	0.9954967831258974	0.00036251382720858203	0.9633562809101358	0.8924540204033923
IL6	0.995422838112044	0.0003714752359137575	2.4141711216262833	2.5587104717294253
CFI	0.9954031813551651	0.00037386966627315983	0.5431940447889666	0.23730440812333536
CASP3	0.9952708366191219	0.0003901234152225847	-0.18912189789267816	-0.253954292142837
TNFRSF11A	0.9952002092631964	0.0003988911372387633	-0.6064474830047187	-0.506432992610643
S100A12	0.9948756624930045	0.000440003716317617	3.17958446510556	3.4416861457061905
BLNK	0.994516514683011	0.00048703631569916726	-0.33965750354478486	-0.5253686739843706
KLRB1	0.9942602093040938	0.0005215592766652935	-0.5748379073620525	-0.2952741761223002
LGALS3	0.993948543249042	0.0005645847568043604	-0.27278118928207606	-0.052568068580630366
ABCB1	0.9938195595322322	0.0005827200610166287	-0.20822828498059726	-0.7905214615794469
IL13RA2	0.9933696547010784	0.0006474491685465359	1.0768518482837868	1.2115514451837166
CXCL1	0.9933102986097568	0.0006561568716964132	1.359310553200675	1.64992671952649
IFI35	0.9931300397357481	0.0006828371661262737	0.5481812044326965	0.13572464222911557
CXCR2	0.9929578525460616	0.0007086507360751047	2.851793238006157	3.0800270302178867
PSEN1	0.9923807092257462	0.0007974596253446793	-0.02855628166947266	0.017505546241218983
CDKN1A	0.9922293034350876	0.0008213285517667719	1.8691429931968973	1.5004163609823178
IFI27	0.9920777919154884	0.0008454471546726497	0.2739167985131111	0.3262539682090697
CCL3	0.9918462345924361	0.0008827531836228664	3.0737411470906766	3.4776918009655704
IL1R2	0.9918113446493537	0.0008884205265874474	1.1994456747358815	1.0502386100657979
IL24	0.9916409201307751	0.000916275923659918	3.2861858647146875	3.1935759334526455
MEFV	0.9910509859610384	0.0010148755890981608	2.152524221827334	2.0475286199733507
GZMB	0.9910160553735018	0.0010208180482040089	0.6617976934865059	0.5148714781462715
SAA1	0.9908714300856185	0.0010455442301592157	0.9868888341114562	0.5714267669014356
TNFRSF11B	0.9907817674052026	0.0010609720057352507	1.325409394642068	1.2159845341576578
NOD2	0.9900474058285208	0.001190114878581291	0.507181453297944	0.13019151075809227
NT5E	0.9896134029948077	0.0012687206134015592	1.1221753806579398	0.8403800338188636
FCGR3A	0.9891816990662358	0.0013485480940842098	2.1938785411826296	1.8162820973362561
