composite	n_genes	n_present	present	missing
TLS_8	8	8	CXCL13,CCL19,CCL21,CXCR5,CCR7,SELL,LAMP3,BCL6	
Plasma_proxy	3	3	TNFRSF17,CD38,IRF4	
GC_TF	3	3	BCL6,AICDA,POU2AF1	
Naive_B	4	4	MS4A1,CD19,CD22,PAX5	
Memory_B	3	3	CD27,CD79B,TNFRSF13B	
BAFF_APRIL	5	5	TNFSF13,TNFSF13B,TNFRSF13B,TNFRSF13C,TNFRSF17	
HLA_II	6	5	HLA-DRA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1	HLA-DRB1
CD8_exh	5	5	PDCD1,HAVCR2,LAG3,TIGIT,CTLA4	
HLA_I_axis	8	8	NLRC5,HLA-A,HLA-B,HLA-C,TAP1,TAP2,PSMB8,PSMB9	
T_cell	5	5	CD3D,CD3E,CD3G,CD8A,CD8B	
