gene	TNT RNA 5	TNT RNA 6	TNT RNA 11	TNT RNA 12	TNT RNA 41	TNT RNA 42	TNT RNA 29	TNT RNA 30	TNT RNA 32	TNT RNA 33	TNT RNA 38	TNT RNA 39
A2M	-0.0828594551376611	1.9752093422487236	-0.2655109312760745	0.2599101706414976	-0.18377424214893487	-0.1216944886996861	-0.18233474460600782	0.5268673586146275	-2.041039080467677	0.7635267773265622	0.8237291590540297	-1.472029865549406
ABCB1	0.8228163857534984	-0.7940620183754538	-0.6662848139251288	-0.009757896626807898	-0.801123857855793	0.34872663338070276	0.9378605383543325	1.9257277717891434	-1.533348278180689	0.526818793328539	0.616674206930985	-1.374047464573332
ABL1	-0.48674489981547914	2.3815337194164763	1.1955574191816751	0.776771077132702	-0.4677129453779089	-0.3271022722391785	-1.0275176557877859	-1.2158574436955378	0.5490140840584993	-0.04843724408319563	-0.7397175283237364	-0.5897863104665637
ADA	0.8925345030665456	0.7696612588783176	0.4389368489294858	1.1840059432999992	-0.3275723379291273	-0.8635362012556237	-0.17629272006157695	-0.5584315180751114	-0.20923019637284157	-0.4301157010557236	-2.2747380027528776	1.554778123328527
ADORA2A	-1.0506603396565373	1.010007321526799	-0.3665494877930544	1.5088797592903584	-0.09483094349421725	0.12890960556754588	-0.8286633805109958	-1.4537783498815655	-0.8073428027510972	0.09285604205643168	-0.12930757460654618	1.9904801502528773
AICDA	-0.026738983415752333	1.1708395444792772	-0.12132696372373396	0.5478605727231433	-0.1584108790010299	0.6086567319702774	-2.1916148824757853	0.9371380962150073	-1.4206227415268946	0.2529741491418664	-0.8176906110622892	1.2189359666759294
AIRE	-0.5250572885703028	-0.4442577013724581	-1.1204051140230245	-0.007557288276373758	1.939656133396528	1.7045105476143676	-0.6445043868722127	-0.723296003372464	0.24429561473990855	-0.566061860123914	-0.9952294868135071	1.1379068336734537
AKT3	-1.0071641428492568	2.5146750042882884	-0.2854541753855259	0.5074725163730325	-0.5566691110056307	0.16040532966398294	-0.21582294738850213	-0.47328118520498813	-1.540340498561446	-0.2878919395645871	0.0627484537038626	1.1213226959307885
ALCAM	-1.5228332205796473	-0.3868050502790991	0.048445385718348645	-0.043277260192416844	0.7503653572770814	2.6969532871066204	0.3395658895889601	-0.6744345899243984	0.043072876168841034	0.09827005511834468	-0.989717356683391	-0.3596053733192321
AMBP	-1.3890434524579112	-0.7359224520724601	-0.436014397206277	0.4918088308897644	-0.27604486681842444	-0.38570449650664745	1.2318199599249953	-0.436014397206277	0.342944188580326	0.3544044249176314	-1.13543817704528	2.3732048350005552
AMICA1	-1.0381038300323673	2.121682840178126	-0.4791919256755252	1.5855005004301719	-0.37292051238748214	0.37768025459552274	-0.7002517133237467	0.4750508894348294	-1.5480442306472062	0.22595640015171053	-0.21739229094401896	-0.42996638178002816
ANP32B	0.6072278957891855	-0.2039522064424499	1.4106937416635317	0.46219532416120873	0.7327342685207734	0.7419319056035769	-0.32736813197950976	-0.9768722882949376	0.838884799612549	0.27550909444791655	-1.5383696296012268	-2.022614773480623
ANXA1	-0.16634897915525199	1.508598434773712	0.37304809716502163	1.5839772798296063	-0.0772792824670093	0.6793283806244336	-0.36972678663161523	-0.03787479426718886	-1.9420376692971575	0.4940941024828444	-1.4318353752612343	-0.6139434077961692
APOE	-0.08075093662703405	1.736403464905679	-0.26735423923729223	0.6772965963107602	-1.6183774894079	-0.8337599089268692	-0.679909149805268	0.5025354375927068	-1.554822429364248	0.807602264597457	1.1504521215361896	0.16068426842581032
APP	-0.7159817431644556	0.23991673603684863	0.07389783498913433	0.3078069922086284	0.6341421280182097	-0.8966891265983769	-1.3945142325188191	1.9849357797974585	-0.2227209530106812	1.195165649682703	0.4053810820897649	-1.6113401475304205
ARG1	-0.4629062908450574	1.051435559445682	-1.01813076542485	0.26098208194945	-0.8328372186269245	-0.14313213581966466	-1.0689055380066381	-0.20346664329702352	0.2481890309973262	0.29546700979992585	-0.7624506277293707	2.635755537557153
