feature	source	IAE_mean	IBI_mean	IAE_minus_IBI	IAE_values	IBI_values	n_IAE	n_IBI
Treg	composite	1.7870942601751547	0.5291581548081101	1.2579361053670446	+1.052,+2.522	-0.255,+1.488,+0.354	2	3
Naive_B	composite	-0.004211155669888389	1.175692908662013	-1.1799040643319012	-1.191,+1.183	+0.669,+1.197,+1.661	2	3
IFNg_10_Ayers	composite	1.1496274001794178	0.3003202991245881	0.8493071010548296	+0.722,+1.577	+0.070,+0.674,+0.157	2	3
IFNg_6	composite	1.073055363787907	0.22429919138041354	0.8487561724074935	+0.972,+1.174	-0.370,+0.778,+0.264	2	3
IMPRES_pos	composite	1.4567295501841588	0.6091428146808219	0.847586735503337	+0.844,+2.070	-0.119,+1.448,+0.498	2	3
NK_inhibiting	composite	0.6257598629696466	1.4603180927207127	-0.8345582297510661	-0.039,+1.291	+0.391,+2.612,+1.377	2	3
CD8_exh	composite	1.4058478317426197	0.601614474214987	0.8042333575276327	+0.788,+2.024	-0.232,+1.186,+0.850	2	3
Teff_over_Treg	ratio	-0.808192418669493	-0.03829696673809627	-0.7698954519313967	-1.052,-0.565	+0.041,+0.227,-0.383	2	3
HLA_II	composite	0.8426176822189138	0.07577426342370797	0.7668434187952058	+0.535,+1.150	+1.061,-1.767,+0.934	2	3
NK_activ_over_inhib	ratio	0.33405444961675107	-0.3302833291739351	0.6643377787906861	+0.390,+0.278	-0.267,+0.066,-0.790	2	3
Ayers_TIS	composite	1.252151043363299	0.6030418611374232	0.6491091822258758	+0.548,+1.957	+0.228,+0.688,+0.893	2	3
DC_mature	composite	1.5472954397241683	0.9405085009851573	0.606786938739011	+1.367,+1.728	+0.077,+2.272,+0.473	2	3
HLA_I_machinery_narrow	composite	1.0795600016932125	0.486052184874822	0.5935078168183905	+0.866,+1.294	+0.193,-0.121,+1.386	2	3
HLA_I_axis	composite	1.0795600016932125	0.486052184874822	0.5935078168183905	+0.866,+1.294	+0.193,-0.121,+1.386	2	3
M1_macro	composite	1.4372544230327604	0.8460923993673592	0.5911620236654012	+1.478,+1.396	-0.018,+1.992,+0.564	2	3
M2_macro	composite	1.5095957046625794	0.9388254748083978	0.5707702298541816	+1.400,+1.619	+0.388,+1.582,+0.847	2	3
Teff_cytotoxic	composite	0.9789018415056617	0.49086118807001383	0.4880406534356479	+0.000,+1.958	-0.214,+1.715,-0.028	2	3
CD8cyt_over_CD8exh	ratio	-0.548922309263665	-0.07930518534444612	-0.4696171239192189	-0.875,-0.223	+0.111,+0.481,-0.830	2	3
Plasma_proxy	composite	0.9136855285001655	0.456190422496626	0.4574951060035395	+0.121,+1.707	+0.673,-1.015,+1.711	2	3
TLS_8	composite	1.1820282714547847	0.8459378336424294	0.33609043781235537	+0.537,+1.827	+0.578,+0.745,+1.215	2	3
CD8_cytotoxic	composite	0.8569255224789546	0.5223092888705408	0.33461623360841375	-0.087,+1.801	-0.121,+1.668,+0.020	2	3
NK_activating	composite	0.9598143125863976	1.1300347635467778	-0.1702204509603802	+0.351,+1.569	+0.125,+2.678,+0.587	2	3
GC_TF	composite	1.4082866553401865	1.3064024838491346	0.10188417149105189	+1.138,+1.678	+0.377,+1.957,+1.586	2	3
Memory_B	composite	0.2879148407804043	0.3819757584392111	-0.09406091765880681	-0.912,+1.488	+0.094,-0.646,+1.697	2	3
BAFF_APRIL	composite	0.8096271988963718	0.7772454953372	0.032381703559171804	+0.146,+1.474	+0.551,-0.184,+1.964	2	3
T_cell	composite	0.687607103453614	0.714903004198172	-0.02729590074455801	-0.775,+2.150	+0.463,+0.672,+1.010	2	3
M1_over_M2	ratio	-0.07234128162981901	-0.09273307544103848	0.020391793811219472	+0.079,-0.223	-0.406,+0.410,-0.283	2	3
