composite	n_genes	n_present	present	missing
TLS_8	8	8	CXCL13,CCL19,CCL21,CXCR5,CCR7,SELL,LAMP3,BCL6	
Plasma_proxy	3	3	TNFRSF17,CD38,IRF4	
GC_TF	3	3	BCL6,AICDA,POU2AF1	
Naive_B	4	4	MS4A1,CD19,CD22,PAX5	
Memory_B	3	3	CD27,CD79B,TNFRSF13B	
BAFF_APRIL	5	5	TNFSF13,TNFSF13B,TNFRSF13B,TNFRSF13C,TNFRSF17	
HLA_II	6	5	HLA-DRA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1	HLA-DRB1
CD8_exh	5	5	PDCD1,HAVCR2,LAG3,TIGIT,CTLA4	
HLA_I_axis	8	8	NLRC5,HLA-A,HLA-B,HLA-C,TAP1,TAP2,PSMB8,PSMB9	
T_cell	5	5	CD3D,CD3E,CD3G,CD8A,CD8B	
Ayers_TIS	16	16	CD274,CXCR6,TIGIT,CD27,CD8A,IDO1,LAG3,PDCD1LG2,PSMB10,STAT1,IFNG,HLA-E,CMKLR1,CXCL9,CCL5,HLA-DQA1	
IFNg_6	6	6	IFNG,STAT1,CXCL9,CXCL10,GZMB,HLA-A	
IFNg_10_Ayers	10	10	IFNG,STAT1,CCR5,CXCL9,CXCL10,CXCL11,GZMA,GZMB,HLA-DRA,PRF1	
IMPRES_pos	14	14	PDCD1,CD28,TNFRSF4,TNFRSF14,CTLA4,TNFRSF9,CD80,CD86,CD40,ICOS,IDO1,LAG3,TIGIT,CD27	
Teff_cytotoxic	9	9	GZMA,GZMB,GZMH,GZMK,PRF1,IFNG,CD8A,CD8B,GNLY	
Treg	7	7	FOXP3,IL10,TGFB1,TGFB2,CTLA4,TNFRSF4,TNFRSF18	
CD8_cytotoxic	8	8	GZMA,GZMB,GZMH,GZMK,PRF1,IFNG,CD8A,CD8B	
M1_macro	9	9	CXCL9,CXCL10,CXCL11,IL12B,CD80,CD86,IFNG,TNF,IL1B	
M2_macro	9	9	ARG1,MRC1,CD163,IL10,TGFB1,VEGFA,CCL17,CCL22,MSR1	
NK_activating	7	7	NCR1,KLRK1,KLRD1,FCGR3A,KLRF1,KIR_Activating_Subgroup_1,KIR_Activating_Subgroup_2	
NK_inhibiting	6	6	KLRC1,KIR3DL1,KIR3DL2,KIR3DL3,KIR_Inhibiting_Subgroup_1,KIR_Inhibiting_Subgroup_2	
DC_mature	5	5	LAMP3,CCR7,CD83,IRF7,IL12B	
HLA_I_machinery_narrow	8	8	NLRC5,HLA-A,HLA-B,HLA-C,TAP1,TAP2,PSMB8,PSMB9	
