composite	tag	good_mean	bad_mean	good_median	bad_median	good_values	bad_values	direction	MW_P_1s_good_gt_bad	MW_P_1s_good_lt_bad	MW_P_2s
TLS_8	delta	0.9262498380452416	0.8459378336424294	0.5373003436492121	0.745044971756331	+1.827,+0.537,+0.415	+1.215,+0.578,+0.745	good>bad	0.8	0.35	0.7
Plasma_proxy	delta	0.33051027544378225	0.456190422496626	0.12060064829289885	0.6727320105551495	+1.707,+0.121,-0.836	+1.711,+0.673,-1.015	bad>good	0.65	0.5	1.0
GC_TF	delta	1.0552260707737706	1.3064024838491346	1.1383855150655056	1.5861468709641635	+1.678,+1.138,+0.349	+1.586,+0.377,+1.957	bad>good	0.8	0.35	0.7
Naive_B	delta	-0.009043781899485978	1.175692908662013	-0.018709034358681154	1.1968422647789116	+1.183,-1.191,-0.019	+1.661,+0.669,+1.197	bad>good	0.9500000000000001	0.1	0.2
Memory_B	delta	0.029067257258776014	0.3819757584392111	-0.48862790978448056	0.09435750775846533	+1.488,-0.912,-0.489	+1.697,+0.094,-0.646	bad>good	0.8	0.35	0.7
BAFF_APRIL	delta	0.46506189762091993	0.7772454953372	0.1455630502517704	0.5510055986638049	+1.474,+0.146,-0.224	+1.964,+0.551,-0.184	bad>good	0.8	0.35	0.7
HLA_II	delta	0.7484696725077588	0.07577426342370797	0.5601736530854485	0.93353689804789	+1.150,+0.535,+0.560	+0.934,+1.061,-1.767	good>bad	0.5	0.65	1.0
CD8_exh	delta	0.9552879539689142	0.601614474214987	0.7880006024437608	0.8501021346386923	+2.024,+0.788,+0.054	+0.850,-0.232,+1.186	good>bad	0.5	0.65	1.0
HLA_I_axis	delta	0.7508276260391421	0.486052184874822	0.8655079439741773	0.19349944360802698	+1.294,+0.866,+0.093	+1.386,+0.193,-0.121	good>bad	0.5	0.65	1.0
T_cell	delta	0.13585310472338974	0.714903004198172	-0.7751935169466657	0.6722842816148602	+2.150,-0.775,-0.968	+1.010,+0.463,+0.672	bad>good	0.8	0.35	0.7
Ayers_TIS	delta	0.7289028468838211	0.6030418611374232	0.5477892180552438	0.688076702221341	+1.957,+0.548,-0.318	+0.893,+0.228,+0.688	good>bad	0.65	0.5	1.0
IFNg_6	delta	0.769059649535358	0.22429919138041354	0.971645471365467	0.26437923606365427	+1.174,+0.972,+0.161	+0.264,-0.370,+0.778	good>bad	0.2	0.9	0.4
IFNg_10_Ayers	delta	0.8321526479491198	0.3003202991245881	0.722200048236241	0.15698841732450353	+1.577,+0.722,+0.197	+0.157,+0.070,+0.674	good>bad	0.1	0.9500000000000001	0.2
IMPRES_pos	delta	0.9757005350067401	0.6091428146808219	0.8438277470311741	0.4984324205074345	+2.070,+0.844,+0.014	+0.498,-0.119,+1.448	good>bad	0.35	0.8	0.7
Teff_cytotoxic	delta	0.5751318930782702	0.49086118807001383	0.0003032180662826123	-0.028495789179541098	+1.958,+0.000,-0.232	-0.028,-0.214,+1.715	good>bad	0.5	0.65	1.0
Treg	delta	1.1813228082956064	0.5291581548081101	1.0519613713396079	0.3543099216955854	+2.522,+1.052,-0.030	+0.354,-0.255,+1.488	good>bad	0.35	0.8	0.7
CD8_cytotoxic	delta	0.47517883500713626	0.5223092888705408	-0.08666567571478162	0.02016294596930357	+1.801,-0.087,-0.288	+0.020,-0.121,+1.668	bad>good	0.65	0.5	1.0
M1_macro	delta	1.0850768731049982	0.8460923993673592	1.3960389806792877	0.5640515085625835	+1.396,+1.478,+0.381	+0.564,-0.018,+1.992	good>bad	0.5	0.65	1.0
M2_macro	delta	1.0967994809485841	0.9388254748083976	1.3997964446525761	0.846924038795591	+1.619,+1.400,+0.271	+0.847,+0.388,+1.582	good>bad	0.5	0.65	1.0
NK_activating	delta	0.48703570920821343	1.1300347635467778	0.350885785630827	0.5874614257417476	+1.569,+0.351,-0.459	+0.587,+0.125,+2.678	bad>good	0.8	0.35	0.7
NK_inhibiting	delta	0.4577559648291924	1.460318092720713	0.12174816854828385	1.377419602621937	+1.291,-0.039,+0.122	+1.377,+0.391,+2.612	bad>good	0.9500000000000001	0.1	0.2
DC_mature	delta	1.0325162967545938	0.9405085009851573	1.3668586023219518	0.4729184086401945	+1.728,+1.367,+0.003	+0.473,+0.077,+2.272	good>bad	0.65	0.5	1.0
HLA_I_machinery_narrow	delta	0.7508276260391421	0.486052184874822	0.8655079439741773	0.19349944360802698	+1.294,+0.866,+0.093	+1.386,+0.193,-0.121	good>bad	0.5	0.65	1.0
