gene	tag	good_mean	bad_mean	MW_P_1s	MW_P_2s	direction	BH_q_1s
TNFSF13B	post	1.4437901498392938	0.030660625230939573	0.05	0.1	good>bad	0.46496815286624205
TLR1	post	1.3856251519608545	-0.05602194963327506	0.05	0.1	good>bad	0.46496815286624205
ST6GAL1	post	0.565007811448421	-0.9533673414295011	0.05	0.1	good>bad	0.46496815286624205
STAT1	post	1.3431110282613041	-0.7920506273514406	0.05	0.1	good>bad	0.46496815286624205
CD1B	post	1.156462439020548	-0.374791790636447	0.05	0.1	good>bad	0.46496815286624205
SOCS1	post	0.5762805153960245	-0.5477626902366576	0.05	0.1	good>bad	0.46496815286624205
TNFRSF11B	post	1.3629484385834234	-0.5231917920529833	0.05	0.1	good>bad	0.46496815286624205
IL7R	post	1.5233961909573608	-0.652636186529334	0.05	0.1	good>bad	0.46496815286624205
LCP1	post	1.4878897802338926	-0.10223776531564642	0.05	0.1	good>bad	0.46496815286624205
STAT4	post	1.1853556686978532	-0.11916796382637736	0.05	0.1	good>bad	0.46496815286624205
SYK	post	0.7680887447013734	-0.9910801243645606	0.05	0.1	good>bad	0.46496815286624205
TAP1	post	1.1131110923176852	-0.6981282306854633	0.05	0.1	good>bad	0.46496815286624205
TBK1	post	0.8872019798947465	-0.3741836537824434	0.05	0.1	good>bad	0.46496815286624205
STAT5B	post	1.0943256577596339	-0.9511919157649054	0.05	0.1	good>bad	0.46496815286624205
IL1RL1	post	1.3439934335138244	0.05486296615429892	0.05	0.1	good>bad	0.46496815286624205
MAP3K1	post	0.8169441357395648	-1.1478104368874147	0.05	0.1	good>bad	0.46496815286624205
CD2	post	1.127148204457152	-0.12566267150564858	0.05	0.1	good>bad	0.46496815286624205
HLA-DMA	post	1.1193434572999232	-0.12644286100841376	0.05	0.1	good>bad	0.46496815286624205
MAP3K7	post	0.44112023462650923	-1.0723276493939602	0.05	0.1	good>bad	0.46496815286624205
CD47	post	0.7035249530910145	-1.0640102091628805	0.05	0.1	good>bad	0.46496815286624205
IL13RA2	post	1.367218809463233	-0.7373269752121271	0.05	0.1	good>bad	0.46496815286624205
IKBKB	post	1.3219641068880175	-0.8699684049911163	0.05	0.1	good>bad	0.46496815286624205
RELA	post	0.9788153521994493	-0.46102596648918565	0.05	0.1	good>bad	0.46496815286624205
RIPK2	post	1.0854443518803865	-0.5585926360915868	0.05	0.1	good>bad	0.46496815286624205
IDO1	post	1.4843430710557144	-0.7508799341107316	0.05	0.1	good>bad	0.46496815286624205
IFI16	post	1.3317883154693295	-0.2944394020609475	0.05	0.1	good>bad	0.46496815286624205
IFIH1	post	1.3777023910782216	-0.41800884045799563	0.05	0.1	good>bad	0.46496815286624205
IFITM2	post	1.276663455323426	-0.2729122551671655	0.05	0.1	good>bad	0.46496815286624205
ICAM3	post	1.3490922292838539	-0.2558487673032865	0.05	0.1	good>bad	0.46496815286624205
HLA-DRA	post	0.9164715062214689	-0.4814077534368149	0.05	0.1	good>bad	0.46496815286624205
HLA-DPB1	post	1.0183175370405324	-0.3596881007641825	0.05	0.1	good>bad	0.46496815286624205
HLA-DMB	post	1.0540836997147613	-0.18281991643012444	0.05	0.1	good>bad	0.46496815286624205
GTF3C1	post	1.0484549873676539	-0.5074505840549115	0.05	0.1	good>bad	0.46496815286624205
GZMB	post	1.0396328197672207	-0.7929882822430444	0.05	0.1	good>bad	0.46496815286624205
FOXJ1	post	0.9079214588013205	-0.3379879736001931	0.05	0.1	good>bad	0.46496815286624205
CXCR4	post	1.5917553479990338	-0.6438174901648602	0.05	0.1	good>bad	0.46496815286624205
NFATC3	post	0.5125954862932735	-0.8133568847006541	0.05	0.1	good>bad	0.46496815286624205
DUSP4	post	1.4104681173076585	0.01217901531392207	0.05	0.1	good>bad	0.46496815286624205
DOCK9	post	0.4278220335571084	-1.2487012963208646	0.05	0.1	good>bad	0.46496815286624205
NFKB1	post	0.9911359355306452	-0.8934585000658201	0.05	0.1	good>bad	0.46496815286624205
PSMD7	post	0.6112233552609468	-0.8478851388960343	0.05	0.1	good>bad	0.46496815286624205
PYCARD	post	0.9806057216490999	-1.3118235781109127	0.05	0.1	good>bad	0.46496815286624205
CREB1	post	0.615128568777548	-1.1018201264191878	0.05	0.1	good>bad	0.46496815286624205
CFI	post	1.0894619060018693	-0.6548858278449782	0.05	0.1	good>bad	0.46496815286624205
PLA2G6	post	1.0314296854289149	-0.8530548671072514	0.05	0.1	good>bad	0.46496815286624205
PSMB9	post	0.9593924632778913	-0.6521580567816159	0.05	0.1	good>bad	0.46496815286624205
PLAU	post	1.353879057970828	-0.6872559434448081	0.05	0.1	good>bad	0.46496815286624205
NLRC5	post	1.0309106000077126	-0.28647389441961074	0.05	0.1	good>bad	0.46496815286624205
CD74	post	1.1119702441669133	-0.6449729549698081	0.05	0.1	good>bad	0.46496815286624205
CD81	post	0.9348411960859867	-1.0029995692382423	0.05	0.1	good>bad	0.46496815286624205
ENTPD1	post	1.229340758086378	-0.19512140110383272	0.05	0.1	good>bad	0.46496815286624205
CASP8	post	1.3868767408393543	-0.695027945703405	0.05	0.1	good>bad	0.46496815286624205
BMI1	post	0.9906232277833436	-1.0260468066771244	0.05	0.1	good>bad	0.46496815286624205
BST2	post	1.4520601334182526	-0.37360453853634734	0.05	0.1	good>bad	0.46496815286624205
BST1	post	1.4622311984438767	-0.11581305524937359	0.05	0.1	good>bad	0.46496815286624205
ATG10	post	0.9273031844593772	-0.41885551523996445	0.05	0.1	good>bad	0.46496815286624205
C2	post	0.7079786504447654	-1.006508009122376	0.05	0.1	good>bad	0.46496815286624205
