gene	tag	good_mean	bad_mean	MW_P_1s	MW_P_2s	direction	BH_q_1s
YTHDF2	pre	0.6637889676966017	-0.6451738280917282	0.05	0.1	good>bad	0.365
TNFSF15	pre	-0.17015112163600912	-1.0989786505265775	0.05	0.1	good>bad	0.365
TNFRSF12A	pre	0.19833512052218927	-1.2094589389512027	0.05	0.1	good>bad	0.365
AICDA	pre	-0.10215894204683873	-1.4766427450216566	0.05	0.1	good>bad	0.365
STAT4	pre	0.13925556270775416	-1.2054432675792262	0.05	0.1	good>bad	0.365
UBC	pre	0.16836423801959974	-0.9903789403769029	0.05	0.1	good>bad	0.365
TANK	pre	0.33006683318497015	-1.1413359205895464	0.05	0.1	good>bad	0.365
STAT5B	pre	0.612985213676767	-0.7561189556715021	0.05	0.1	good>bad	0.365
REPS1	pre	0.4381324376616129	-0.18353460340151914	0.05	0.1	good>bad	0.365
REL	pre	0.32662146490355487	-0.9906311061456637	0.05	0.1	good>bad	0.365
CCRL2	pre	0.15078618395131746	-1.0733117228483882	0.05	0.1	good>bad	0.365
PTPRC	pre	-0.005212725121582403	-0.9715477387654747	0.05	0.1	good>bad	0.365
IL32	pre	0.0117594372645932	-0.7693571154905469	0.05	0.1	good>bad	0.365
PSEN1	pre	0.28964920417599793	-0.5476827740084418	0.05	0.1	good>bad	0.365
POU2AF1	pre	0.21916234387877997	-0.876910863771199	0.05	0.1	good>bad	0.365
SH2D1A	pre	0.5677475168897568	-0.9429666630698751	0.05	0.1	good>bad	0.365
ETS1	pre	-0.0456429811480464	-0.9268340073032687	0.05	0.1	good>bad	0.365
ENTPD1	pre	-0.13413498088784728	-0.9000843760946999	0.05	0.1	good>bad	0.365
DUSP6	pre	0.30893142831893566	-0.9400724779759857	0.05	0.1	good>bad	0.365
DDX43	pre	-0.48169867847995135	-0.7155630139847383	0.05	0.1	good>bad	0.365
CD3D	pre	0.7309362360174351	-0.8045204128132006	0.05	0.1	good>bad	0.365
OAS3	pre	0.243253062746679	-1.1035881508726675	0.05	0.1	good>bad	0.365
IL4	pre	-0.3524631076191944	-0.8731066823378942	0.05	0.1	good>bad	0.365
PSMB7	pre	0.6980148032201571	-0.49249182211052717	0.05	0.1	good>bad	0.365
HMGB1	pre	1.1668693672992159	-0.4179632158217171	0.05	0.1	good>bad	0.365
IDO1	pre	0.1903283308928548	-0.9237914678378397	0.05	0.1	good>bad	0.365
PSMD7	pre	0.9252102006703001	-0.6885484170351983	0.05	0.1	good>bad	0.365
HLA-E	pre	-0.026458036667723117	-0.8970691616331127	0.05	0.1	good>bad	0.365
IL13RA1	pre	0.28205587983343494	-0.1045593066084791	0.05	0.1	good>bad	0.365
HLA-DRA	pre	0.2690756613193194	-0.7041394141039777	0.05	0.1	good>bad	0.365
IFNGR1	pre	0.12972894594401352	-0.7932099142574051	0.05	0.1	good>bad	0.365
IFNAR2	pre	0.10348834080972528	-1.0001654273285807	0.05	0.1	good>bad	0.365
NUP107	pre	1.104740008046474	-0.4170324679268733	0.05	0.1	good>bad	0.365
NFKB1	pre	0.6254250213921193	-0.72310245685695	0.05	0.1	good>bad	0.365
CD2	pre	0.05538814994587057	-1.0568736828973726	0.05	0.1	good>bad	0.365
CD247	pre	0.3973066542273446	-1.1680299455976206	0.05	0.1	good>bad	0.365
CD274	pre	-0.09286007311425688	-1.062643311248133	0.05	0.1	good>bad	0.365
CD38	pre	0.4614634275659372	-0.8853698509406599	0.05	0.1	good>bad	0.365
LGALS3	pre	0.4123472361199423	-0.48145332532678964	0.05	0.1	good>bad	0.365
LCP1	pre	-0.40929289790689327	-0.9763591170113584	0.05	0.1	good>bad	0.365
CEACAM6	pre	0.5441852889726922	-1.0177654893953003	0.05	0.1	good>bad	0.365
CFP	pre	-0.36650891128506174	-1.0061423364780666	0.05	0.1	good>bad	0.365
CHUK	pre	0.7098827142330317	-0.9116169137237703	0.05	0.1	good>bad	0.365
MAGEA1	pre	-0.2483376978425594	-0.7584451841367379	0.05	0.1	good>bad	0.365
CREB1	pre	0.9272167638547932	-0.4405252062131333	0.05	0.1	good>bad	0.365
CR2	pre	0.16332406796737817	-1.1549793226242404	0.05	0.1	good>bad	0.365
CMA1	pre	0.37096613268334044	-1.1174073779764504	0.05	0.1	good>bad	0.365
CD63	pre	-0.1810708433020618	-1.150109760628397	0.05	0.1	good>bad	0.365
PBK	pre	1.1148362580211428	-0.762053403207306	0.05	0.1	good>bad	0.365
MAPK1	pre	0.5460420588043419	-0.608848022444611	0.05	0.1	good>bad	0.365
MAPK8	pre	0.476343559859521	-1.0166856644518127	0.05	0.1	good>bad	0.365
CD59	pre	-0.1186509655636378	-1.4326436771822906	0.05	0.1	good>bad	0.365
CD58	pre	0.23249869911493146	-0.6629990719194735	0.05	0.1	good>bad	0.365
IL18	pre	0.1982176117540275	-1.105148043677399	0.05	0.1	good>bad	0.365
CXCR6	pre	0.4745276142201367	-1.2406243728622375	0.05	0.1	good>bad	0.365
CXCL9	pre	0.482095767922971	-0.7722384755124695	0.05	0.1	good>bad	0.365
CTAG1B	pre	0.575563678613852	-0.8299960721116088	0.05	0.1	good>bad	0.365
CTSH	pre	0.8170031543279518	-0.602016701963367	0.05	0.1	good>bad	0.365
CXCL10	pre	0.5570325031568047	-0.8303745962139978	0.05	0.1	good>bad	0.365
CXCL11	pre	0.3833571993230395	-1.1122344779395512	0.05	0.1	good>bad	0.365
ISG20	pre	-0.040134434788602014	-1.1483724608599237	0.05	0.1	good>bad	0.365
ITGA2	pre	0.7516670866853651	-0.7730500919367151	0.05	0.1	good>bad	0.365
IRF1	pre	0.1467616783910097	-1.31708133825176	0.05	0.1	good>bad	0.365
IL6ST	pre	-0.06682415397427834	-0.9515596568507062	0.05	0.1	good>bad	0.365
C4BPA	pre	0.5917957592654227	-1.281738130317276	0.05	0.1	good>bad	0.365
KLRB1	pre	0.612235687471458	-0.29855257852051814	0.05	0.1	good>bad	0.365
JAK1	pre	0.20098370316035452	-0.6496084210278512	0.05	0.1	good>bad	0.365
ITGB1	pre	0.2867954726101734	-1.4214516838227185	0.05	0.1	good>bad	0.365
ITGA6	pre	0.5724637889241417	-0.5804581003713412	0.05	0.1	good>bad	0.365
BTLA	pre	0.1392611539205241	-1.2727472675123777	0.05	0.1	good>bad	0.365
CKLF	pre	0.3033328023280411	-0.7250588375689432	0.05	0.1	good>bad	0.365
CD9	pre	0.5463077442249386	-0.11108877375157328	0.05	0.1	good>bad	0.365
CEACAM1	pre	0.5582002967429397	-0.9580623012473403	0.05	0.1	good>bad	0.365
LAMP3	pre	0.16104275896904782	-0.8166624412149665	0.05	0.1	good>bad	0.365
LY96	pre	-0.15111771303989951	-1.1181925538783053	0.05	0.1	good>bad	0.365
LBP	pre	0.03989102232404229	-1.0783314432580666	0.05	0.1	good>bad	0.365
CDH1	pre	0.5873759903656891	-0.06699641409668723	0.05	0.1	good>bad	0.365
BMI1	pre	0.5172343096470107	-0.481810730753226	0.05	0.1	good>bad	0.365
BIRC5	pre	1.0579717329510958	-0.26875486861904624	0.05	0.1	good>bad	0.365
ATG5	pre	0.7116983245088653	-0.38748581269507515	0.05	0.1	good>bad	0.365
IFI27	pre	0.3063355905369634	-0.7362849236804373	0.05	0.1	good>bad	0.365
