composite	tag	good_mean	bad_mean	good_median	bad_median	good_values	bad_values	direction	MW_P_1s_good_gt_bad	MW_P_1s_good_lt_bad	MW_P_2s
TLS_8	post	0.6919179839499906	0.19417585189384493	0.6589877291767373	0.1714629997693563	+1.417,+0.659,-0.000	+0.171,-0.200,+0.611	good>bad	0.2	0.9	0.4
Plasma_proxy	post	0.7211252710610095	-0.32777492209080655	0.6778740240797373	-0.3613185895785245	+1.986,+0.678,-0.500	-0.361,+0.007,-0.629	good>bad	0.2	0.9	0.4
GC_TF	post	0.9024126336593756	0.2784016436520776	1.0340586683577317	-0.16635220535385173	+1.515,+1.034,+0.158	-0.166,-0.207,+1.208	good>bad	0.2	0.9	0.4
Naive_B	post	0.05518769958380363	0.5281368637974603	0.043662302138837414	0.038779303098225575	+0.430,+0.044,-0.308	+0.039,+0.004,+1.542	bad>good	0.65	0.5	1.0
Memory_B	post	0.3009547976295313	-0.09543328978053743	0.14898423508386638	-0.1772456350433352	+1.456,+0.149,-0.702	-0.481,-0.177,+0.372	good>bad	0.5	0.65	1.0
BAFF_APRIL	post	0.36830941246621984	0.2528442840128396	0.43377305307619896	0.26221518844461145	+1.168,+0.434,-0.497	+0.231,+0.262,+0.266	good>bad	0.35	0.8	0.7
HLA_II	post	0.7378719955158693	-0.325750027550137	0.9740573083136959	-0.1337655425409014	+1.288,-0.048,+0.974	+0.562,-0.134,-1.405	good>bad	0.1	0.9500000000000001	0.2
CD8_exh	post	0.837938272922074	-0.05948705883012362	1.0110380068279063	-0.306635137685262	+1.576,+1.011,-0.073	-0.434,-0.307,+0.562	good>bad	0.1	0.9500000000000001	0.2
HLA_I_axis	post	0.8741087898561067	-0.25566888439912444	0.6217196611249466	0.2205107796188005	+0.622,+1.407,+0.593	+0.221,+0.373,-1.361	good>bad	0.05	1.0	0.1
T_cell	post	0.2996441554054161	0.12573389905536383	-0.22514608730693442	0.06899617123234685	+1.929,-0.225,-0.805	+0.069,+0.253,+0.056	good>bad	0.8	0.35	0.7
Ayers_TIS	post	0.7850972333475439	-0.11912487933692197	0.8316774577072155	-0.1546127587597791	+1.676,+0.832,-0.152	-0.249,-0.155,+0.046	good>bad	0.1	0.9500000000000001	0.2
IFNg_6	post	1.0083257903163216	-0.5116463698584357	1.3258466024429707	-0.4652905706413522	+1.334,+1.326,+0.365	-0.447,-0.465,-0.623	good>bad	0.05	1.0	0.1
IFNg_10_Ayers	post	0.9807600707484011	-0.4145235972115466	1.1482676235807134	-0.4332301651247521	+1.591,+1.148,+0.203	-0.478,-0.332,-0.433	good>bad	0.05	1.0	0.1
IMPRES_pos	post	0.8841843146955427	-0.09176263985176165	0.9872534271714881	-0.2536216473664209	+1.674,+0.987,-0.009	-0.590,-0.254,+0.569	good>bad	0.1	0.9500000000000001	0.2
Teff_cytotoxic	post	0.5249715782519673	0.008024962322174681	0.12952731934449743	-0.22400530942126473	+1.739,+0.130,-0.293	-0.402,-0.224,+0.650	good>bad	0.35	0.8	0.7
Treg	post	0.9171219853610514	-0.06188150380919314	0.6630155155624166	-0.4905553497012961	+1.833,+0.663,+0.255	-0.607,-0.491,+0.911	good>bad	0.2	0.9	0.4
CD8_cytotoxic	post	0.48615545604785027	0.012588605890988388	0.12226425491393364	-0.2990833158409979	+1.702,+0.122,-0.366	-0.372,-0.299,+0.709	good>bad	0.35	0.8	0.7
M1_macro	post	0.9695943240940172	-0.004009687857837914	1.3843603601158785	-0.2737818165607762	+1.402,+1.384,+0.122	-0.274,-0.430,+0.692	good>bad	0.1	0.9500000000000001	0.2
M2_macro	post	0.6633566800690253	0.35445579780946596	0.8808417030687972	0.05389783942027805	+1.334,+0.881,-0.225	+0.040,+0.054,+0.969	good>bad	0.5	0.65	1.0
NK_activating	post	0.431570423942307	0.3769648124351889	0.5632659850225235	-0.25794240718486766	+0.992,+0.563,-0.260	-0.258,-0.277,+1.666	good>bad	0.5	0.65	1.0
NK_inhibiting	post	0.0967573974336068	0.8622796313413453	0.03954052131016653	0.43281679735007383	+0.608,+0.040,-0.357	+0.433,+0.214,+1.940	bad>good	0.9	0.2	0.4
DC_mature	post	0.7933205183289304	0.19319188054094463	1.2583265521037723	-0.16067584225343126	+1.258,+1.504,-0.382	-0.233,-0.161,+0.973	good>bad	0.35	0.8	0.7
HLA_I_machinery_narrow	post	0.8741087898561067	-0.25566888439912444	0.6217196611249466	0.2205107796188005	+0.622,+1.407,+0.593	+0.221,+0.373,-1.361	good>bad	0.05	1.0	0.1
