composite	tag	good_mean	bad_mean	good_median	bad_median	good_values	bad_values	direction	MW_P_1s_good_gt_bad	MW_P_1s_good_lt_bad	MW_P_2s
TLS_8	pre	-0.234331854095251	-0.6517619817485844	-0.40996970059301846	-0.7775374556566754	-0.410,+0.122,-0.415	-1.043,-0.778,-0.134	good>bad	0.2	0.9	0.4
Plasma_proxy	pre	0.3906149956172274	-0.7839653445874326	0.3354919039291285	-0.6661884447558911	+0.279,+0.557,+0.335	-2.072,-0.666,+0.386	good>bad	0.2	0.9	0.4
GC_TF	pre	-0.15281343711439496	-1.028000840197057	-0.1629676581386143	-0.7484404034958249	-0.163,-0.104,-0.191	-1.752,-0.583,-0.748	good>bad	0.05	1.0	0.1
Naive_B	pre	0.06423148148328957	-0.6475560448645526	-0.28895788366219444	-0.6648521109048638	-0.753,+1.235,-0.289	-1.623,-0.665,+0.345	good>bad	0.35	0.8	0.7
Memory_B	pre	0.2718875403707553	-0.47740904821974844	-0.03183483514553175	-0.27160314280180053	-0.032,+1.061,-0.213	-2.178,-0.272,+1.018	good>bad	0.2	0.9	0.4
BAFF_APRIL	pre	-0.09675248515470009	-0.5244012113243605	-0.2728202197680528	-0.2887904102191935	-0.306,+0.288,-0.273	-1.734,-0.289,+0.449	good>bad	0.5	0.65	1.0
HLA_II	pre	-0.010597676991889274	-0.40152429097384507	0.1377096014053441	-0.3720135783667545	+0.138,-0.583,+0.414	-0.372,-1.195,+0.362	good>bad	0.35	0.8	0.7
CD8_exh	pre	-0.11734968104684011	-0.6611015330451107	-0.12714519129398655	-0.6244868279468238	-0.448,+0.223,-0.127	-1.284,-0.075,-0.624	good>bad	0.2	0.9	0.4
HLA_I_axis	pre	0.12328116381696463	-0.7417210692739463	0.49997314827786177	-1.1651337194397966	-0.672,+0.542,+0.500	-1.165,+0.180,-1.240	good>bad	0.1	0.9500000000000001	0.2
T_cell	pre	0.16379105068202643	-0.5891691051428082	0.16310436762516362	-0.6167414873523456	-0.222,+0.550,+0.163	-0.941,-0.210,-0.617	good>bad	0.1	0.9500000000000001	0.2
Ayers_TIS	pre	0.05619438646372275	-0.7221667404743451	0.16516867387730444	-0.6422243331093928	-0.280,+0.284,+0.165	-1.142,-0.382,-0.642	good>bad	0.05	1.0	0.1
IFNg_6	pre	0.23926614078096362	-0.7359455612388492	0.20433644511862256	-0.7111997568040783	+0.159,+0.354,+0.204	-0.711,-0.096,-1.401	good>bad	0.05	1.0	0.1
IFNg_10_Ayers	pre	0.14860742279928138	-0.7148438963361347	0.014381217870023832	-0.6349932431650195	+0.014,+0.426,+0.005	-0.635,-0.402,-1.107	good>bad	0.05	1.0	0.1
IMPRES_pos	pre	-0.09151622031119733	-0.7009054545325836	-0.02250009281461903	-0.8795998147148651	-0.395,+0.143,-0.023	-1.089,-0.134,-0.880	good>bad	0.1	0.9500000000000001	0.2
Teff_cytotoxic	pre	-0.05016031482630296	-0.48283622574783913	-0.061044866592556396	-0.3732803265880213	-0.219,+0.129,-0.061	-0.373,-0.010,-1.065	good>bad	0.2	0.9	0.4
Treg	pre	-0.2642008229345551	-0.5910396586173033	-0.38894585577719126	-0.5764177260748337	-0.689,-0.389,+0.285	-0.961,-0.236,-0.576	good>bad	0.35	0.8	0.7
CD8_cytotoxic	pre	0.010976621040713905	-0.5097206829795525	-0.07761433367703652	-0.392391383342366	-0.098,+0.209,-0.078	-0.392,-0.178,-0.958	good>bad	0.05	1.0	0.1
M1_macro	pre	-0.1154825490109811	-0.8501020872251971	-0.09410950527035461	-0.8378333251233596	+0.006,-0.094,-0.259	-0.838,-0.413,-1.300	good>bad	0.05	1.0	0.1
M2_macro	pre	-0.433442800879559	-0.5843696769989318	-0.49572131258468616	-0.6125918398238548	-0.286,-0.519,-0.496	-0.807,-0.334,-0.613	good>bad	0.2	0.9	0.4
NK_activating	pre	-0.05546528526590652	-0.7530699511115889	0.19835456165604462	-0.8454038329266153	-0.577,+0.212,+0.198	-0.845,-0.402,-1.012	good>bad	0.1	0.9500000000000001	0.2
NK_inhibiting	pre	-0.3609985673955855	-0.5980384613793676	-0.47904906567209965	-0.6721611098683106	-0.682,+0.079,-0.479	-0.945,-0.177,-0.672	good>bad	0.35	0.8	0.7
DC_mature	pre	-0.23919577842566372	-0.7473166204442127	-0.38531599995913346	-0.7057770535181386	-0.469,+0.137,-0.385	-0.706,-0.237,-1.299	good>bad	0.2	0.9	0.4
HLA_I_machinery_narrow	pre	0.12328116381696463	-0.7417210692739463	0.49997314827786177	-1.1651337194397966	-0.672,+0.542,+0.500	-1.165,+0.180,-1.240	good>bad	0.1	0.9500000000000001	0.2
