composite	tag	good_mean	bad_mean	good_median	bad_median	good_values	bad_values	direction	MW_P_1s_good_gt_bad	MW_P_1s_good_lt_bad	MW_P_2s
Teff_over_Treg	pre_ratio	0.21404050810825218	0.10820343286946417	0.47020692021258975	0.22575127278300033	+0.470,+0.518,-0.346	+0.588,+0.226,-0.489	good>bad	0.5	0.65	1.0
CD8cyt_over_CD8exh	pre_ratio	0.128326302087554	0.15138085006555813	0.04953085761695003	-0.10334439342004766	+0.350,-0.014,+0.050	+0.891,-0.103,-0.334	bad>good	0.35	0.8	0.7
M1_over_M2	pre_ratio	0.31796025186857796	-0.26573241022626526	0.29183786818820334	-0.07862184482389106	+0.292,+0.425,+0.237	-0.031,-0.079,-0.687	good>bad	0.05	1.0	0.1
NK_activ_over_inhib	pre_ratio	0.30553328212967895	-0.15503148973222122	0.1338287838600994	-0.22465859076918696	+0.105,+0.134,+0.677	+0.099,-0.225,-0.340	good>bad	0.05	1.0	0.1
Teff_over_Treg	post_ratio	-0.3921504071090842	0.06990646613136785	-0.5334881962179191	0.20480783754246407	-0.095,-0.533,-0.548	+0.205,+0.267,-0.262	bad>good	0.9500000000000001	0.1	0.2
CD8cyt_over_CD8exh	post_ratio	-0.3517828168742238	0.07207566472111199	-0.2929518807410532	0.06155781299948293	+0.126,-0.889,-0.293	+0.062,+0.008,+0.147	bad>good	0.9	0.2	0.4
M1_over_M2	post_ratio	0.30623764402499204	-0.3584654856673038	0.34671239083298655	-0.31409966371615117	+0.068,+0.504,+0.347	-0.314,-0.484,-0.277	good>bad	0.05	1.0	0.1
NK_activ_over_inhib	post_ratio	0.33481302650870015	-0.4853148189061564	0.3835796545820379	-0.4912939510083454	+0.384,+0.524,+0.097	-0.691,-0.491,-0.274	good>bad	0.05	1.0	0.1
Teff_over_Treg	delta_ratio	-0.6061909152173365	-0.03829696673809627	-0.5647266840656606	0.04079876749703104	-0.565,-1.052,-0.202	-0.383,+0.041,+0.227	bad>good	0.9500000000000001	0.1	0.2
CD8cyt_over_CD8exh	delta_ratio	-0.4801091189617777	-0.07930518534444612	-0.34248273835800325	0.11089621526431176	-0.223,-0.875,-0.342	-0.830,+0.111,+0.481	bad>good	0.9	0.2	0.4
M1_over_M2	delta_ratio	-0.011722607843585827	-0.09273307544103848	0.07867342073365702	-0.2828725302330075	-0.223,+0.079,+0.110	-0.283,-0.406,+0.410	good>bad	0.35	0.8	0.7
NK_activ_over_inhib	delta_ratio	0.029279744379021144	-0.3302833291739351	0.27821221938124463	-0.2666353602391584	+0.278,+0.390,-0.580	-0.790,-0.267,+0.066	good>bad	0.2	0.9	0.4
