baseline_feature	baseline_label	cascade_feature	cascade_label	predicted_sign	observed_r	observed_sign	concordant	n	plain_P
DNA Double-Strand Break Repair R-HSA-5693532	DSB repair (Reactome)	SBS5_delta	Δ SBS5	-1	-0.5117	-1	True	13	0.0739
DNA Double-Strand Break Repair R-HSA-5693532	DSB repair (Reactome)	IGH_n_delta	Δ IGH clonotypes	1	0.5455	1	True	12	0.0666
DNA Repair R-HSA-73894	DNA repair (Reactome)	SBS5_delta	Δ SBS5	-1	-0.5365	-1	True	13	0.0588
DNA Repair R-HSA-73894	DNA repair (Reactome)	IGH_n_delta	Δ IGH clonotypes	1	0.5385	1	True	12	0.0709
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	HRR (Reactome)	SBS5_delta	Δ SBS5	-1	-0.4649	-1	True	13	0.1094
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	HRR (Reactome)	IGH_n_delta	Δ IGH clonotypes	1	0.3147	1	True	12	0.3191
E2F Targets	E2F targets (Hallmark)	SBS5_delta	Δ SBS5	-1	-0.4457	-1	True	13	0.1269
E2F Targets	E2F targets (Hallmark)	IGH_n_delta	Δ IGH clonotypes	1	0.3077	1	True	12	0.3306
G2-M Checkpoint	G2-M checkpoint (Hallmark)	SBS5_delta	Δ SBS5	-1	-0.4787	-1	True	13	0.098
G2-M Checkpoint	G2-M checkpoint (Hallmark)	IGH_n_delta	Δ IGH clonotypes	1	0.3077	1	True	12	0.3306
Myc Targets V2	Myc targets V2 (Hallmark)	SBS5_delta	Δ SBS5	-1	-0.3824	-1	True	13	0.1972
Myc Targets V2	Myc targets V2 (Hallmark)	IGH_n_delta	Δ IGH clonotypes	1	0.5594	1	True	12	0.0586
