iter	n_concordant_out_of_12
1	6
2	6
3	7
4	6
5	5
6	6
7	4
8	4
9	5
10	4
11	4
12	7
13	8
14	5
15	4
16	5
17	6
18	8
19	8
20	5
21	7
22	9
23	5
24	8
25	5
26	6
27	6
28	5
29	8
30	7
31	7
32	4
33	5
34	7
35	7
36	6
37	5
38	8
39	9
40	6
41	7
42	6
43	6
44	4
45	8
46	8
47	4
48	7
49	7
50	7
51	7
52	8
53	5
54	3
55	4
56	4
57	5
58	4
59	2
60	6
61	6
62	7
63	4
64	5
65	7
66	5
67	8
68	7
69	7
70	9
71	5
72	3
73	7
74	3
75	5
76	6
77	8
78	8
79	6
80	5
81	7
82	5
83	6
84	6
85	6
86	7
87	7
88	7
89	7
90	6
91	10
92	4
93	5
94	4
95	7
96	4
97	2
98	6
99	2
100	8
101	5
102	6
103	8
104	8
105	6
106	4
107	4
108	4
109	9
110	7
111	8
112	4
113	5
114	7
115	5
116	7
117	8
118	9
119	6
120	9
121	9
122	5
123	4
124	7
125	7
126	5
127	6
128	9
129	4
130	7
131	6
132	6
133	3
134	9
135	4
136	10
137	5
138	7
139	7
140	7
141	3
142	5
143	6
144	5
145	7
146	6
147	5
148	7
149	6
150	8
151	6
152	4
153	4
154	6
155	8
156	5
157	7
158	6
159	4
160	9
161	9
162	3
163	4
164	5
165	9
166	6
167	6
168	8
169	8
170	7
171	5
172	6
173	5
174	6
175	5
176	5
177	5
178	4
179	4
180	6
181	7
182	5
183	5
184	6
185	7
186	3
187	5
188	6
189	6
190	6
191	7
192	3
193	5
194	5
195	6
196	5
197	5
198	6
199	4
200	7
201	6
202	6
203	10
204	6
205	8
206	6
207	5
208	3
209	4
210	7
211	5
212	4
213	3
214	4
215	7
216	4
217	5
218	7
219	3
220	6
221	4
222	7
223	6
224	6
225	6
226	6
227	8
228	6
229	8
230	6
231	6
232	5
233	6
234	3
235	7
236	7
237	5
238	6
239	5
240	7
241	7
242	8
243	6
244	5
245	8
246	7
247	8
248	4
249	5
250	3
251	5
252	5
253	6
254	6
255	7
256	4
257	5
258	8
259	4
260	5
261	6
262	5
263	3
264	6
265	5
266	2
267	9
268	4
269	6
270	7
271	8
272	6
273	7
274	11
275	5
276	8
277	2
278	5
279	8
280	6
281	7
282	6
283	2
284	4
285	6
286	8
287	6
288	8
289	5
290	9
291	8
292	8
293	6
294	6
295	6
296	7
297	9
298	5
299	9
300	5
301	4
302	9
303	7
304	7
305	5
306	6
307	7
308	5
309	4
310	6
311	6
312	8
313	5
314	8
315	7
316	7
317	4
318	5
319	7
320	7
321	6
322	7
323	2
324	5
325	4
326	6
327	9
328	5
329	8
330	5
331	6
332	4
333	10
334	8
335	5
336	5
337	7
338	7
339	4
340	7
341	7
342	8
343	5
344	7
345	6
346	5
347	8
348	7
349	6
350	7
351	9
352	5
353	3
354	4
355	7
356	5
357	6
358	8
359	6
360	5
361	5
362	7
363	6
364	8
365	7
366	5
367	7
368	4
369	6
370	3
371	10
372	5
373	5
374	8
375	7
376	7
377	5
378	6
379	4
380	5
381	5
382	6
383	8
384	7
385	7
386	7
387	7
388	5
389	7
390	4
391	6
392	5
393	7
394	9
395	7
396	7
397	8
398	3
399	6
400	6
401	7
402	4
403	9
404	2
405	3
406	6
407	4
408	9
409	7
410	7
411	7
412	6
413	7
414	6
415	3
416	3
417	6
418	9
419	4
420	6
421	6
422	7
423	6
424	5
425	4
426	5
427	1
428	4
429	7
430	4
431	9
432	6
433	5
434	5
435	6
436	4
437	6
438	4
439	5
440	5
441	6
442	4
443	6
444	5
445	8
446	4
447	8
448	7
449	8
450	8
451	7
452	5
453	5
454	7
455	4
456	6
457	4
458	8
459	6
460	6
461	8
462	5
463	8
464	6
465	5
466	5
467	9
468	6
469	4
470	6
471	5
472	8
473	1
474	7
475	4
476	6
477	4
478	6
479	9
480	6
481	4
482	9
483	7
484	6
485	8
486	7
487	9
488	7
489	7
490	7
491	4
492	6
493	7
494	8
495	6
496	6
497	9
498	5
499	5
500	4
501	2
502	7
503	6
504	7
505	8
506	7
507	7
508	7
509	9
510	3
511	6
512	4
513	5
514	3
515	6
516	8
517	9
518	8
519	6
520	5
521	4
522	5
