baseline_feature	cascade_feature	n	spearman_r	spearman_p	partial_r	partial_P	BH_q
MHC_II	CD8_cytotoxic_delta	12	-0.483	0.1121	-0.478	0.1163	0.9822
Myc Targets V2	IGH_n_delta	12	0.559	0.0586	0.462	0.1308	0.9822
DNA Repair R-HSA-73894	IGH_n_delta	12	0.538	0.0709	0.426	0.1668	0.9822
DNA Double-Strand Break Repair R-HSA-5693532	IGH_n_delta	12	0.545	0.0666	0.422	0.1718	0.9822
MSI_pct	CD8_cytotoxic_delta	11	-0.373	0.259	-0.413	0.207	0.9822
MHC_II	MHC_II_delta	12	-0.364	0.2453	-0.379	0.224	0.9822
frac_amp	Treg_delta	12	-0.495	0.1017	-0.355	0.2575	0.9822
MSI_pct	Treg_delta	11	0.447	0.1679	0.249	0.4595	0.9822
MHC_II	IGH_n_delta	12	0.175	0.5868	0.231	0.47	0.9822
frac_amp	CD8_cytotoxic_delta	12	0.175	0.587	0.228	0.4754	0.9822
E2F Targets	MHC_II_delta	12	0.021	0.9484	-0.228	0.4762	0.9822
G2-M Checkpoint	MHC_II_delta	12	0.021	0.9484	-0.228	0.4762	0.9822
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	MHC_II_delta	12	0.091	0.7787	-0.219	0.4939	0.9822
G2-M Checkpoint	IGH_n_delta	12	0.308	0.3306	0.204	0.5247	0.9822
E2F Targets	IGH_n_delta	12	0.308	0.3306	0.204	0.5247	0.9822
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	IGH_n_delta	12	0.315	0.3191	0.177	0.5826	0.9822
DNA Double-Strand Break Repair R-HSA-5693532	CD8_cytotoxic_delta	12	-0.07	0.829	-0.168	0.6007	0.9822
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	Treg_delta	12	0.189	0.5567	-0.158	0.6238	0.9822
DNA Double-Strand Break Repair R-HSA-5693532	MHC_II_delta	12	0.294	0.3541	-0.11	0.7331	0.9822
MSI_pct	IGH_n_delta	11	0.224	0.5086	0.115	0.7364	0.9822
E2F Targets	Treg_delta	12	0.154	0.6331	-0.108	0.7394	0.9822
G2-M Checkpoint	Treg_delta	12	0.154	0.6331	-0.108	0.7394	0.9822
E2F Targets	CD8_cytotoxic_delta	12	0.126	0.6967	0.1	0.7583	0.9822
G2-M Checkpoint	CD8_cytotoxic_delta	12	0.126	0.6967	0.1	0.7583	0.9822
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	CD8_cytotoxic_delta	12	0.126	0.6967	0.094	0.7723	0.9822
MSI_pct	MHC_II_delta	11	0.149	0.6618	-0.097	0.7774	0.9822
frac_amp	IGH_n_delta	12	-0.079	0.8071	0.076	0.814	0.9822
DNA Repair R-HSA-73894	CD8_cytotoxic_delta	12	-0.007	0.9828	-0.069	0.831	0.9822
DNA Double-Strand Break Repair R-HSA-5693532	Treg_delta	12	0.392	0.2081	-0.057	0.8606	0.9822
Myc Targets V2	MHC_II_delta	12	0.245	0.4433	-0.049	0.8798	0.9822
frac_amp	MHC_II_delta	12	-0.183	0.569	0.044	0.8919	0.9822
MHC_II	Treg_delta	12	-0.091	0.7787	-0.035	0.9141	0.9822
DNA Repair R-HSA-73894	MHC_II_delta	12	0.287	0.3663	-0.03	0.9253	0.9822
Myc Targets V2	CD8_cytotoxic_delta	12	0.028	0.9312	-0.021	0.9474	0.9822
DNA Repair R-HSA-73894	Treg_delta	12	0.35	0.2652	-0.015	0.9633	0.9822
Myc Targets V2	Treg_delta	12	0.322	0.3079	-0.007	0.9822	0.9822
