baseline_feature	cascade_feature	n	spearman_r	spearman_p	partial_r	partial_P	in_formal_36	BH_q_partial	BH_q_plain
MHC_II	CD8_cytotoxic_delta	12	-0.4825	0.1121	-0.4776	0.1163	False	0.9315	0.9828
Myc Targets V2	IGH_n_delta	12	0.5594	0.0586	0.4617	0.1308	True	0.9822	0.4568
DNA Repair R-HSA-73894	IGH_n_delta	12	0.5385	0.0709	0.4265	0.1668	True	0.9822	0.4568
DNA Double-Strand Break Repair R-HSA-5693532	IGH_n_delta	12	0.5455	0.0666	0.422	0.1718	True	0.9822	0.4568
MSI_pct	CD8_cytotoxic_delta	11	-0.3727	0.259	-0.4129	0.207	False	0.9315	0.9828
frac_amp	Treg_delta	12	-0.4951	0.1017	-0.355	0.2575	True	0.9822	0.4568
G2-M Checkpoint	SBS5_delta	13	-0.4787	0.098	-0.3347	0.2636	True	0.9822	0.4568
DNA Repair R-HSA-73894	SBS5_delta	13	-0.5365	0.0588	-0.3288	0.2727	True	0.9822	0.4568
frac_amp	SBS5_delta	14	-0.1385	0.6369	-0.3104	0.2801	True	0.9822	0.7643
E2F Targets	SBS5_delta	13	-0.4457	0.1269	-0.2918	0.3334	True	0.9822	0.4568
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	SBS5_delta	13	-0.4649	0.1094	-0.2718	0.369	True	0.9822	0.4568
DNA Double-Strand Break Repair R-HSA-5693532	SBS5_delta	13	-0.5117	0.0739	-0.2484	0.4132	True	0.9822	0.4568
MSI_pct	SBS5_delta	13	-0.4476	0.1251	-0.2434	0.423	True	0.9822	0.4568
MSI_pct	Treg_delta	11	0.4472	0.1679	0.2494	0.4595	True	0.9822	0.5495
MHC_II	IGH_n_delta	12	0.1748	0.5868	0.231	0.47	True	0.9822	0.7643
frac_amp	CD8_cytotoxic_delta	12	0.1747	0.587	0.2283	0.4754	False	0.9349	0.9828
E2F Targets	IGH_n_delta	12	0.3077	0.3306	0.2041	0.5247	True	0.9822	0.6612
G2-M Checkpoint	IGH_n_delta	12	0.3077	0.3306	0.2041	0.5247	True	0.9822	0.6612
DNA Repair R-HSA-73894	neo_binders_delta	10	-0.3212	0.3655	-0.2162	0.5486	True	0.9822	0.6925
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	IGH_n_delta	12	0.3147	0.3191	0.1768	0.5826	True	0.9822	0.6612
DNA Double-Strand Break Repair R-HSA-5693532	CD8_cytotoxic_delta	12	-0.0699	0.829	-0.1685	0.6007	False	0.9349	0.9828
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	Treg_delta	12	0.1888	0.5567	-0.158	0.6238	True	0.9822	0.7643
Myc Targets V2	SBS5_delta	13	-0.3824	0.1972	-0.1328	0.6654	True	0.9822	0.5763
MHC_II	SBS5_delta	13	0.2091	0.493	0.1192	0.6982	True	0.9822	0.7643
MSI_pct	neo_binders_delta	11	-0.2562	0.447	-0.1313	0.7003	True	0.9822	0.7643
MSI_pct	IGH_n_delta	11	0.2236	0.5086	0.115	0.7364	True	0.9822	0.7643
G2-M Checkpoint	Treg_delta	12	0.1538	0.6331	-0.1075	0.7394	True	0.9822	0.7643
E2F Targets	Treg_delta	12	0.1538	0.6331	-0.1075	0.7394	True	0.9822	0.7643
E2F Targets	CD8_cytotoxic_delta	12	0.1259	0.6967	0.0995	0.7583	False	0.9349	0.9828
G2-M Checkpoint	CD8_cytotoxic_delta	12	0.1259	0.6967	0.0995	0.7583	False	0.9349	0.9828
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	CD8_cytotoxic_delta	12	0.1259	0.6967	0.0936	0.7723	False	0.9349	0.9828
MHC_II	neo_binders_delta	10	0.1273	0.7261	0.0888	0.8072	True	0.9822	0.8245
frac_amp	IGH_n_delta	12	-0.079	0.8071	0.0762	0.814	True	0.9822	0.8302
DNA Repair R-HSA-73894	CD8_cytotoxic_delta	12	-0.007	0.9828	-0.0691	0.831	False	0.9349	0.9828
DNA Double-Strand Break Repair R-HSA-5693532	neo_binders_delta	10	-0.2485	0.4888	-0.0762	0.8344	True	0.9822	0.7643
Myc Targets V2	neo_binders_delta	10	-0.2121	0.5563	-0.07	0.8476	True	0.9822	0.7643
frac_amp	neo_binders_delta	11	-0.0149	0.9654	-0.0638	0.8522	True	0.9822	0.9654
DNA Double-Strand Break Repair R-HSA-5693532	Treg_delta	12	0.3916	0.2081	-0.0569	0.8606	True	0.9822	0.5763
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	neo_binders_delta	10	-0.1758	0.6272	-0.0403	0.912	True	0.9822	0.7643
MHC_II	Treg_delta	12	-0.0909	0.7787	-0.035	0.9141	True	0.9822	0.8245
Myc Targets V2	CD8_cytotoxic_delta	12	0.028	0.9312	-0.0214	0.9474	False	0.9474	0.9828
DNA Repair R-HSA-73894	Treg_delta	12	0.3497	0.2652	-0.0149	0.9633	True	0.9822	0.6612
E2F Targets	neo_binders_delta	10	-0.103	0.777	0.0084	0.9816	True	0.9822	0.8245
G2-M Checkpoint	neo_binders_delta	10	-0.103	0.777	0.0084	0.9816	True	0.9822	0.8245
Myc Targets V2	Treg_delta	12	0.3217	0.3079	-0.0072	0.9822	True	0.9822	0.6612
