baseline	cascade	r_manual	r_sklearn	P_manual	P_sklearn	abs_dr	abs_dP
DNA Double-Strand Break Repair R-HSA-5693532	SBS5_delta	-0.2484	-0.2484	0.4132	0.4132	0.0	0.0
DNA Double-Strand Break Repair R-HSA-5693532	neo_binders_delta	-0.0762	-0.0762	0.8344	0.8344	0.0	0.0
DNA Double-Strand Break Repair R-HSA-5693532	Treg_delta	-0.0569	-0.0569	0.8606	0.8606	0.0	0.0
DNA Double-Strand Break Repair R-HSA-5693532	IGH_n_delta	0.422	0.422	0.1718	0.1718	0.0	0.0
DNA Repair R-HSA-73894	SBS5_delta	-0.3288	-0.3288	0.2727	0.2727	0.0	0.0
DNA Repair R-HSA-73894	neo_binders_delta	-0.2162	-0.2162	0.5486	0.5486	0.0	0.0
DNA Repair R-HSA-73894	Treg_delta	-0.0149	-0.0149	0.9633	0.9633	0.0	0.0
DNA Repair R-HSA-73894	IGH_n_delta	0.4265	0.4265	0.1668	0.1668	0.0	0.0
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	SBS5_delta	-0.2718	-0.2718	0.369	0.369	0.0	0.0
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	neo_binders_delta	-0.0403	-0.0403	0.912	0.912	0.0	0.0
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	Treg_delta	-0.158	-0.158	0.6238	0.6238	0.0	0.0
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	IGH_n_delta	0.1768	0.1768	0.5826	0.5826	0.0	0.0
E2F Targets	SBS5_delta	-0.2918	-0.2918	0.3334	0.3334	0.0	0.0
E2F Targets	neo_binders_delta	0.0084	0.0084	0.9816	0.9816	0.0	0.0
E2F Targets	Treg_delta	-0.1075	-0.1075	0.7394	0.7394	0.0	0.0
E2F Targets	IGH_n_delta	0.2041	0.2041	0.5247	0.5247	0.0	0.0
G2-M Checkpoint	SBS5_delta	-0.3347	-0.3347	0.2636	0.2636	0.0	0.0
G2-M Checkpoint	neo_binders_delta	0.0084	0.0084	0.9816	0.9816	0.0	0.0
G2-M Checkpoint	Treg_delta	-0.1075	-0.1075	0.7394	0.7394	0.0	0.0
G2-M Checkpoint	IGH_n_delta	0.2041	0.2041	0.5247	0.5247	0.0	0.0
Myc Targets V2	SBS5_delta	-0.1328	-0.1328	0.6654	0.6654	0.0	0.0
Myc Targets V2	neo_binders_delta	-0.07	-0.07	0.8476	0.8476	0.0	0.0
Myc Targets V2	Treg_delta	-0.0072	-0.0072	0.9822	0.9822	0.0	0.0
Myc Targets V2	IGH_n_delta	0.4617	0.4617	0.1308	0.1308	0.0	0.0
MHC_II	SBS5_delta	0.1192	0.1192	0.6982	0.6982	0.0	0.0
MHC_II	neo_binders_delta	0.0888	0.0888	0.8072	0.8072	0.0	0.0
MHC_II	Treg_delta	-0.035	-0.035	0.9141	0.9141	0.0	0.0
MHC_II	IGH_n_delta	0.231	0.231	0.47	0.47	0.0	0.0
MSI_pct	SBS5_delta	-0.2434	-0.2434	0.423	0.423	0.0	0.0
MSI_pct	neo_binders_delta	-0.1313	-0.1313	0.7003	0.7003	0.0	0.0
MSI_pct	Treg_delta	0.2494	0.2494	0.4595	0.4595	0.0	0.0
MSI_pct	IGH_n_delta	0.115	0.115	0.7364	0.7364	0.0	0.0
frac_amp	SBS5_delta	-0.3104	-0.3104	0.2801	0.2801	0.0	0.0
frac_amp	neo_binders_delta	-0.0638	-0.0638	0.8522	0.8522	0.0	0.0
frac_amp	Treg_delta	-0.355	-0.355	0.2575	0.2575	0.0	0.0
frac_amp	IGH_n_delta	0.0762	0.0762	0.814	0.814	0.0	0.0
