baseline	cascade	n_v3	n_prior	r_v3	r_prior	P_v3	P_prior	r_diff_abs	P_diff_abs	match_within_0_01
DNA Double-Strand Break Repair R-HSA-5693532	Treg_delta	12	12	0.3916	0.392	0.2081	0.2081	0.0004	0.0	True
DNA Double-Strand Break Repair R-HSA-5693532	IGH_n_delta	12	12	0.5455	0.545	0.0666	0.0666	0.0005	0.0	True
DNA Repair R-HSA-73894	Treg_delta	12	12	0.3497	0.35	0.2652	0.2652	0.0003	0.0	True
DNA Repair R-HSA-73894	IGH_n_delta	12	12	0.5385	0.538	0.0709	0.0709	0.0005	0.0	True
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	Treg_delta	12	12	0.1888	0.189	0.5567	0.5567	0.0002	0.0	True
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	IGH_n_delta	12	12	0.3147	0.315	0.3191	0.3191	0.0003	0.0	True
E2F Targets	Treg_delta	12	12	0.1538	0.154	0.6331	0.6331	0.0002	0.0	True
E2F Targets	IGH_n_delta	12	12	0.3077	0.308	0.3306	0.3306	0.0003	0.0	True
G2-M Checkpoint	Treg_delta	12	12	0.1538	0.154	0.6331	0.6331	0.0002	0.0	True
G2-M Checkpoint	IGH_n_delta	12	12	0.3077	0.308	0.3306	0.3306	0.0003	0.0	True
Myc Targets V2	Treg_delta	12	12	0.3217	0.322	0.3079	0.3079	0.0003	0.0	True
Myc Targets V2	IGH_n_delta	12	12	0.5594	0.559	0.0586	0.0586	0.0004	0.0	True
MHC_II	Treg_delta	12	12	-0.0909	-0.091	0.7787	0.7787	0.0001	0.0	True
MHC_II	IGH_n_delta	12	12	0.1748	0.175	0.5868	0.5868	0.0002	0.0	True
MSI_pct	Treg_delta	11	11	0.4472	0.447	0.1679	0.1679	0.0002	0.0	True
MSI_pct	IGH_n_delta	11	11	0.2236	0.224	0.5086	0.5086	0.0004	0.0	True
frac_amp	Treg_delta	12	12	-0.4951	-0.495	0.1017	0.1017	0.0001	0.0	True
frac_amp	IGH_n_delta	12	12	-0.079	-0.079	0.8071	0.8071	0.0	0.0	True
