feature	n_good	n_bad	med_good	med_bad	delta_med	pvalue	qvalue
DNA Double-Strand Break Repair R-HSA-5693532	17	16	0.8324741003858681	0.8028942738288847	0.029579826556983435	0.007282718810609287	0.1453860142726333
Myc Targets V2	17	16	1.0699807311114569	1.0406464530576782	0.02933427805377864	0.018302788299065485	0.1453860142726333
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	17	16	0.8685696874163182	0.8305860352810278	0.037983652135290424	0.020156972926779138	0.1453860142726333
DNA Repair R-HSA-73894	17	16	0.880996028650064	0.8584828516194944	0.022513177030569542	0.020156972926779138	0.1453860142726333
G2-M Checkpoint	17	16	0.9988757791322724	0.9582285631328427	0.040647215999429775	0.032088733978231254	0.1453860142726333
CD8_proliferation	17	16	0.8379773251376701	0.3406198416718258	0.4973574834658443	0.03509317585891149	0.1453860142726333
E2F Targets	17	16	1.0353454188026796	0.989565783645069	0.04577963515761063	0.03509317585891149	0.1453860142726333
MHC_II	17	16	-0.4602547904765093	0.0814276245050984	-0.5416824149816077	0.07457255811183723	0.27032552315541
MSI_pct	16	12	0.0	0.0	0.0	0.14458025480187559	0.4193287959208627
Stemness_mRNAsi_proxy	17	16	0.1270103051356093	-0.0120912851791748	0.13910159031478408	0.14459613652443543	0.4193287959208627
TGF-beta Signaling	17	16	0.9381389818260384	0.9424720414836085	-0.0043330596575701374	0.16548950244348504	0.43629050644191514
Epithelial Mesenchymal Transition	17	16	0.8090940258266713	0.8426855236416928	-0.033591497815021465	0.24171455630584604	0.5630194351594221
Hypoxia	17	16	0.8435553526313376	0.851837119878082	-0.008281767246744343	0.27191282088637114	0.5630194351594221
Hypoxia_Buffa	17	16	0.3977848534667215	0.2898239199969487	0.10796093346977281	0.28794238849112574	0.5630194351594221
frac_amp	18	17	0.0	0.0	0.0	0.29121694922039076	0.5630194351594221
EMT_Mak	17	16	-0.2399518735603211	-0.08728511569589731	-0.1526667578644238	0.35832646674888025	0.6494667209823455
TGFb_Mariathasan	17	16	-0.1737698961601276	-0.15246270397796846	-0.02130719218215915	0.48241278389343334	0.8033954713025875
frac_del	18	17	0.07043950204763716	0.1064265305209159	-0.03598702847327874	0.49865925804988187	0.8033954713025875
IFNg_Ayers_18	17	16	-0.1394129528672964	-0.048307363960561	-0.09110558890673541	0.6267574865832262	0.9566298479428189
MMR_prop	18	17	0.0877985018715694	0.0918367346938775	-0.004038232822308099	0.7202301969573562	0.9868316960559351
CD8_activation	17	16	-0.0594899038247905	-0.31869242287185584	0.25920251904706537	0.8712282197431191	0.9868316960559351
NLRC5_HLA_IFNG	17	16	-0.0672595584171966	-0.1751934700124883	0.10793391159529171	0.8712282197431191	0.9868316960559351
age	18	17	60.5	61.0	-0.5	0.8948735398830406	0.9868316960559351
SBS5	18	17	92.5	83.0	9.5	0.8949614183570281	0.9868316960559351
CIN	18	17	0.17360000501415165	0.1593732912578389	0.014226713756312764	0.9080351775313281	0.9868316960559351
Antigen_presentation	17	16	0.0472540564258017	0.15439112189018178	-0.10713706546438008	0.9282436914627462	0.9868316960559351
TLS_Cabrita	17	16	-0.2312356197221752	-0.39285749861367114	0.16162187889149593	0.9569089824064287	0.9868316960559351
TMB_nonsyn_per_Mb	18	17	1.92	1.82	0.09999999999999987	0.9868316960559351	0.9868316960559351
n_nonsyn	18	17	96.0	91.0	5.0	0.9868316960559351	0.9868316960559351
